,Symbol,Correction,Advance,Recovery,20200219,20200323,20200528
0,ADS,-69.39621152328334,57.96260477111541,-51.65745856353591,101.36,31.02,49.0
1,AEZS,-63.97058823529412,134.6938775510204,-15.441176470588248,1.36,0.49,1.15
2,ARI,-66.03053435114504,35.63402889245584,-53.92584514721919,18.34,6.23,8.45
3,ASPU,-18.76955161626694,5.263157894736833,-14.49426485922837,9.59,7.79,8.2
4,BDN,-50.31645569620254,28.535031847133762,-36.139240506329116,15.8,7.85,10.09
5,BG,-39.09970238095237,18.723274282223564,-27.69717261904762,53.76,32.74,38.87
6,BHC,-49.848828420257,40.01507159005274,-29.780801209372644,26.46,13.27,18.58
7,CBLI,-11.594202898550716,7.1038251366120155,-5.314009661835743,2.07,1.83,1.96
8,CC,-56.925498426023076,65.65164433617538,-28.646379853095485,19.06,8.21,13.6
9,CMP,-40.49534626912762,30.30222693531283,-22.464111058526584,63.39,37.72,49.15
10,COFS,-44.14705882352942,57.872564507635616,-11.823529411764705,34.0,18.99,29.98
11,CZNC,-34.88546751783702,14.70588235294118,-25.30980097634247,26.63,17.34,19.89
12,GH,-30.856219709208396,46.61214953271026,1.3731825525040362,86.66,59.92,87.85
13,GSBD,-57.494407158836694,77.26315789473684,-24.653243847874723,22.35,9.5,16.84
14,HAS,-46.898034398034405,41.62328899171004,-24.79524979524981,97.68,51.87,73.46
15,HCAT,-22.78481012658228,13.703236654056333,-12.203829925348906,30.81,23.79,27.05
16,HOFT,-38.82352941176472,25.59171597633137,-23.16742081447964,22.1,13.52,16.98
17,IDA,-33.57162005182735,24.347592144202306,-17.397909034045217,111.91,74.34,92.44
18,IZEA,-48.83011190233977,317.4950298210735,113.63173957273652,0.2949,0.1509,0.63
19,JFIN,-5.900621118012434,-33.87788778877888,-37.779503105590074,3.22,3.03,2.0035
20,JRJC,-47.876147502722894,25.621890547263693,-34.52103106685338,7.7124,4.02,5.05
21,KBR,-50.146246343841405,52.28161668839635,-24.081897952551188,30.77,15.34,23.36
22,LECO,-33.069284837665954,38.823137189531586,-7.08468146825839,89.63,59.99,83.28
23,MD,-63.70816096276795,65.38860103626942,-39.97743512598721,26.59,9.65,15.96
24,NK,-53.542009884678755,134.3971631205674,8.896210873146622,6.07,2.82,6.61
25,NMFC,-63.73239436619718,83.10679611650484,-33.59154929577465,14.2,5.15,9.43
26,NTUS,-29.55872809863725,0.32243205895900634,-29.331602855288768,30.82,21.71,21.78
27,NUE,-40.431775309159505,49.71850809289231,-10.815342695451694,47.71,28.42,42.55
28,NYCB,-16.606822262118502,9.795479009687838,-8.43806104129265,11.14,9.29,10.2
29,OHI,-49.3278651173388,39.43345323741009,-29.34609250398724,43.89,22.24,31.01
30,PLYM,-62.01923076923077,83.54430379746834,-30.288461538461544,20.8,7.9,14.5
31,RE,-40.821804666529005,18.928820655966494,-29.62007020441875,290.58,171.96,204.51
32,REVG,-48.32985386221294,25.454545454545446,-35.177453027139876,9.58,4.95,6.21
33,SEEL,-55.149532710280376,162.55469889560325,17.757009345794383,1.07,0.4799,1.26
34,SGH,-40.58527933786579,29.9004975124378,-22.819982264262485,33.83,20.1,26.11
35,SRT,-45.35031847133757,0.699300699300705,-44.968152866242036,7.85,4.29,4.32
36,STAF,-51.44097907619424,100.54200542005421,-2.618765627056195,0.7599,0.369,0.74
37,SUM,-63.97621070518266,85.02358490566036,-33.34749362786746,23.54,8.48,15.69
38,SUPV,-53.0,52.4822695035461,-28.33333333333334,3.0,1.41,2.15
39,TBIO,28.304239401496254,96.59863945578233,152.24438902743142,8.02,10.29,20.23
40,TEO,-31.255265374894684,-4.779411764705889,-34.540859309182814,11.87,8.16,7.77
41,UN,-25.87022642784725,15.842261226350587,-14.12639405204461,59.18,43.87,50.82
42,WDFC,5.5079818162596395,-4.388777555110216,0.877471191457869,189.18,199.6,190.84
43,WIX,-39.13939706261273,119.51735817104148,33.59958773511981,155.24,94.48,207.4
