,Symbol,Correction,Advance,Recovery,20200219,20200323,20200528
0,ABIO,-51.15384615384615,656.2992125984252,269.42307692307696,5.2,2.54,19.21
1,AGO,-58.04423243712055,42.06718346253228,-40.39462272333044,46.12,19.35,27.49
2,AIM,100.95238095238093,18.48341232227489,138.0952380952381,1.05,2.11,2.5
3,AMPH,-30.651945320715036,41.16755117513269,-2.1030494216614017,19.02,13.19,18.62
4,AVDL,-2.5210084033613405,14.367816091954023,11.484593837535018,7.14,6.96,7.96
5,BHLB,-56.74891146589259,-3.9429530201342335,-58.45428156748912,27.56,11.92,11.45
6,BXMT,-63.87577639751553,68.98211829436039,-38.95652173913044,40.25,14.54,24.57
7,CCRC,-60.9361807517815,25.360230547550415,-51.02950612975492,8.8829,3.47,4.35
8,CLGN,-25.225225225225216,18.313253012048186,-11.531531531531527,11.1,8.3,9.82
9,DHIL,-39.71369539551358,30.942472460220316,-21.059622195985835,135.52,81.7,106.98
10,ED,-30.389859394972305,11.935730680948756,-22.081380485726452,93.88,65.35,73.15
11,EVBG,11.284905479320608,17.901181340001717,31.2062182132233,104.21,115.97,136.73
12,FWONA,-55.47790802524797,70.2278481012658,-24.21100090171326,44.36,19.75,33.62
13,FWONK,-54.2838874680307,59.34731934731935,-27.15260017050299,46.92,21.45,34.18
14,GBDC,-46.78998911860718,23.41513292433539,-34.33079434167573,18.38,9.78,12.07
15,GIII,-76.85185185185186,86.33333333333333,-56.86728395061729,25.92,6.0,11.18
16,GTES,-51.959247648902824,64.11092985318109,-21.159874608150467,12.76,6.13,10.06
17,HAPP,-38.588235294117645,0.3831417624521161,-38.35294117647059,4.25,2.61,2.62
18,HEBT,-0.3115264797507722,192.1875,191.2772585669782,6.42,6.4,18.7
19,K,-19.2156862745098,22.14339058999253,-1.3273001508295559,66.3,53.56,65.42
20,LEA,-36.596699246915556,35.99949456659085,-13.771831437269666,124.82,79.14,107.63
21,LIFE,-37.05463182897862,40.0,-11.876484560570072,4.21,2.65,3.71
22,LYV,-50.93322818086225,31.288507902491297,-35.58096740273397,76.08,37.33,49.01
23,MGEE,-29.618768328445746,17.256944444444454,-17.47311827956989,81.84,57.6,67.54
24,MN,-41.573033707865164,189.42307692307688,69.1011235955056,1.78,1.04,3.01
25,NAKD,-19.919919919919916,69.75,35.93593593593595,0.4995,0.4,0.679
26,NSPR,-52.59482758620689,48.790689216221125,-29.4655172413793,1.16,0.5499,0.8182
27,NWLI,-55.76293738986586,63.40947890415411,-27.7124465062754,278.07,123.01,201.01
28,NXST,-63.96634989873812,77.47514051015996,-36.04922885184608,128.38,46.26,82.1
29,ON,-45.02392344497608,39.77371627502174,-23.157894736842106,20.9,11.49,16.06
30,RAVN,-30.70789259560619,2.1136683889149803,-29.243287225386503,30.725,21.29,21.74
31,RHE,-42.592721452926035,49.09090909090909,-14.410966529816998,1.4371,0.825,1.23
32,SAFE,-0.6415094339622706,2.753513102924426,2.0943396226415083,53.0,52.66,54.11
33,SELB,-56.66666666666666,88.71794871794873,-18.222222222222218,4.5,1.95,3.68
34,SIFY,-39.03252032520325,23.963195092679022,-24.422764227642276,1.23,0.7499,0.9296
35,SNN,-40.27374533388635,45.65972222222223,-13.002903359601817,48.22,28.8,41.95
36,SPG,-63.389533610685355,19.11881977671452,-56.39004452229764,137.01,50.16,59.75
37,STLD,-38.58565053209749,50.698714365567355,-7.449364915894262,29.13,17.89,26.96
38,STMP,23.758642363293536,67.12375148129338,106.83008589985334,95.46,118.14,197.44
39,TRIL,-8.823529411764707,69.208211143695,54.27807486631014,3.74,3.41,5.77
40,VISL,-26.368421052631582,103.50250178699072,49.8421052631579,0.19,0.1399,0.2847
41,VLGEA,-3.0088495575221224,9.260948905109478,5.973451327433618,22.6,21.92,23.95
42,VREX,-31.40432098765432,6.524184476940383,-26.92901234567901,25.92,17.78,18.94
43,WCC,-61.884324545268754,72.54691689008044,-34.23257715103209,48.93,18.65,32.18
44,WWR,-43.062200956937794,89.91596638655462,8.133971291866025,2.09,1.19,2.26
