,Symbol,Correction,Advance,Recovery,20200219,20200323,20200528
0,AER,-74.0392281932706,99.20147420147418,-48.28575984691437,62.71,16.28,32.43
1,AKOB,-26.229508196721312,22.22222222222222,-9.836065573770492,15.25,11.25,13.75
2,ALGT,-56.50512525019713,47.73392832240972,-35.74331291320435,164.87,71.71,105.94
3,ASML,-26.54147893758467,37.23782972335407,0.8128800529317373,317.39,233.15,319.97
4,AZO,-32.205963685448864,58.67232653964214,7.570374675428153,1066.79,723.22,1147.55
5,BAC,-47.92626728110599,37.50000000000001,-28.398617511520737,34.72,18.08,24.86
6,BBD,-54.301075268817215,4.705882352941181,-52.15053763440861,7.44,3.4,3.56
7,BFC,-22.22222222222222,25.102040816326525,-2.698412698412703,63.0,49.0,61.3
8,BGSF,-59.075907590759066,42.87634408602151,-41.529152915291526,18.18,7.44,10.63
9,BK,-40.13501742160279,36.74063295743909,-18.140243902439018,45.92,27.49,37.59
10,BKR,-55.16578567996155,75.66988210075027,-21.239788563190768,20.81,9.33,16.39
11,BRC,-26.87646598905395,40.336808340016056,2.61923377638781,51.16,37.41,52.5
12,BV,-49.523204068658615,78.58942065491182,-9.853782581055311,15.73,7.94,14.18
13,CCNE,-41.762252346193954,10.892270963891374,-35.41883906847411,28.77,16.755,18.58
14,CLBK,-20.889409011117614,7.248520710059175,-15.155061439438269,17.09,13.52,14.5
15,CMCM,-43.733333333333334,34.123222748815174,-24.533333333333335,3.75,2.11,2.83
16,CRUS,-32.32998885172798,31.228262859234842,-11.197819893472076,80.73,54.63,71.69
17,CVU,-66.0377358490566,100.69444444444447,-31.839622641509433,4.24,1.44,2.89
18,DECK,-43.471559268098645,63.945817574105014,-7.3239856801909395,201.12,113.69,186.39
19,DFS,-64.73001588141874,85.62851782363978,-34.528851244044475,75.56,26.65,49.47
20,ELS,-39.47403373621995,37.15163484748738,-16.98764776198699,75.29,45.57,62.5
21,FORM,-33.397608947165445,43.13839027214823,-4.6664095642113415,25.93,17.27,24.72
22,HEES,-62.853297442799466,59.05797101449276,-40.91520861372813,29.72,11.04,17.56
23,HHR,-40.04158004158005,30.443828016643543,-21.787941787941797,24.05,14.42,18.81
24,IAA,-50.236034618410706,60.23715415019762,-20.25963808025178,50.84,25.3,40.54
25,ICHR,-55.20311630495269,39.68944099378879,-37.423483583750695,35.94,16.1,22.49
26,ITRI,-43.25868372943327,31.010873942811127,-25.662705667276047,87.52,49.66,65.06
27,KKR,-45.47597995873858,52.810810810810814,-16.68140288829944,33.93,18.5,28.27
28,MMS,-25.37764350453171,34.43135811556863,0.3158472946992639,72.82,54.34,73.05
29,MRK,-19.024390243902435,19.03614457831325,-3.609756097560968,82.0,66.4,79.04
30,NBTB,-24.73255221599592,8.967851099830803,-17.982679572083534,39.26,29.55,32.2
31,NEO,-29.812853619614106,14.344770566349727,-19.744668504279712,34.465,24.19,27.66
32,NUVA,-49.395465994962215,52.812344449975114,-22.670025188916885,79.4,40.18,61.4
33,PFHD,-23.44303797468355,-3.4391534391534364,-26.075949367088608,19.75,15.12,14.6
34,RPM,-36.998654104979806,58.619953001495404,-0.06729475100941744,74.3,46.81,74.25
35,SAH,-65.52677029360967,174.04809619238478,-5.5267702936096645,28.95,9.98,27.35
36,SLF,-50.53676321652825,42.99754299754299,-29.268786712578482,49.37,24.42,34.92
37,SONA,-46.56151419558359,23.612750885478157,-33.94321766561514,15.85,8.47,10.47
38,STRA,-31.121951219512194,42.042992834527574,-2.1635581061693028,174.25,120.02,170.48
39,SYX,-26.872246696035234,24.277108433734924,-9.118942731277535,22.7,16.6,20.63
40,TBK,-50.15613740091281,22.072289156626496,-39.154455921210676,41.63,20.75,25.33
41,TJX,-42.39147469048739,47.1164309031556,-15.248393668703972,63.81,36.76,54.08
42,TMO,-24.854300347324426,34.249902075989034,0.8830281980337905,339.74,255.3,342.74
43,TW,-26.8224485719992,71.83406113537117,25.743958458158577,50.07,36.64,62.96
44,WD,-53.94631942598991,21.754183496826336,-43.927717246877485,75.26,34.66,42.2
45,WNS,-53.64904749127986,39.50795947901594,-35.33673195599678,74.54,34.55,48.2
