,Symbol,Correction,Advance,Recovery,20200219,20200323,20200528
0,ACST,-44.446428571428584,106.81452909032465,14.892857142857128,0.56,0.3111,0.6434
1,ACY,-73.84893895202656,79.98615491116067,-52.93171075128231,4.9715,1.3001,2.34
2,AHPI,730.1435406698566,-46.628242074927954,343.06220095693783,2.09,17.35,9.26
3,ASPS,-61.69888097660224,108.10092961487383,-20.29501525940997,19.66,7.53,15.67
4,AXU,-32.352941176470594,55.072463768115966,4.901960784313729,2.04,1.38,2.14
5,BGNE,-26.208210635717997,27.042253521126774,-6.2532478780529965,173.19,127.8,162.36
6,BITA,-34.72409152086137,29.7938144329897,-15.275908479138623,14.86,9.7,12.59
7,CDZI,13.765642775881695,10.299999999999994,25.483503981797504,8.79,10.0,11.03
8,CEIX,-30.76923076923077,72.10884353741497,19.152276295133433,6.37,4.41,7.59
9,CGEN,-36.09406952965235,98.08000000000001,26.584867075664636,9.78,6.25,12.38
10,CLR,-65.36248561565017,46.179401993355484,-49.36708860759494,26.07,9.03,13.2
11,DNOW,-42.31166150670794,34.704830053667266,-22.291021671826616,9.69,5.59,7.53
12,ENG,-40.625,79.82456140350877,6.770833333333328,0.96,0.57,1.025
13,FNHC,-31.163522012578614,11.923252626770212,-22.955974842767297,15.9,10.945,12.25
14,FRGI,-47.46588693957115,51.39146567717998,-20.46783625730994,10.26,5.39,8.16
15,GT,-53.97379912663756,48.576850094876676,-31.615720524017465,11.45,5.27,7.83
16,HMTV,-39.061371841155236,18.364928909952614,-27.87003610108303,13.85,8.44,9.99
17,HSBC,-22.357162572453763,-16.13935300391041,-34.88821418713773,36.23,28.13,23.59
18,INO,73.75328083989501,101.66163141993958,250.39370078740154,3.81,6.62,13.35
19,IRTC,-14.001372683596426,64.80446927374301,41.72958133150309,87.42,75.18,123.9
20,LCUT,-24.186704384724187,-1.119402985074636,-25.03536067892504,7.07,5.36,5.3
21,LN,-6.927212572373866,10.353254832259505,2.7088502894954556,48.36,45.01,49.67
22,MTDR,-84.85080336648814,309.090909090909,-38.02601377199694,13.07,1.98,8.1
23,MVIS,-73.13905606588534,430.7193396226415,42.556224263541345,0.6314,0.1696,0.9001
24,NAV,-59.21087709944014,66.14379084967321,-32.23140495867768,37.51,15.3,25.42
25,OMI,-13.372956909361074,32.93310463121784,15.156017830609205,6.73,5.83,7.75
26,OPTN,-54.01844532279314,33.2378223495702,-38.73517786561264,7.59,3.49,4.65
27,PER,-55.06855473140032,12.256128064032012,-49.56169925826029,0.8898,0.3998,0.4488
28,PRA,-24.328449328449327,-42.033077853973374,-56.13553113553114,32.76,24.79,14.37
29,PRO,-44.28881436180706,35.09206798866856,-24.738607220359047,50.69,28.24,38.15
30,PTMN,-67.10526315789473,58.66666666666666,-47.807017543859644,2.28,0.75,1.19
31,PUMP,-81.3953488372093,149.5,-53.58139534883721,10.75,2.0,4.99
32,RIBT,-37.313432835820905,32.14285714285716,-17.16417910447761,1.34,0.84,1.11
33,TCDA,-40.57971014492754,27.532833020637902,-24.219620958751396,35.88,21.32,27.19
34,TLF,-42.20272904483431,14.671163575042161,-33.72319688109162,5.13,2.965,3.4
35,TRCH,-38.126984126984134,-4.4638276038994285,-40.888888888888886,0.63,0.3898,0.3724
36,TTPH,-66.18181818181817,189.29851510496667,-2.164502164502176,2.31,0.7812,2.26
37,TWMC,-9.99999999999999,61.616161616161605,45.45454545454546,3.3,2.97,4.8
38,WBAI,-47.763578274760384,4.281345565749239,-45.52715654952076,6.26,3.27,3.41
39,WTRH,301.2345679012346,60.256410256410255,543.0041152263375,0.3888,1.56,2.5
40,XONE,-31.923601637107776,68.73747494989979,14.87039563437926,7.33,4.99,8.42
