,Symbol,Correction,Advance,Recovery,20200219,20200323,20200528
0,AEHR,-49.37759336099585,34.42622950819672,-31.95020746887968,2.41,1.22,1.64
1,ANIK,-40.35705896171012,34.61992910594722,-19.70871505755227,42.57,25.39,34.18
2,ARAV,-55.811403508771924,203.72208436724569,34.21052631578949,9.12,4.03,12.24
3,ASRV,-37.56097560975609,12.109375000000002,-29.999999999999993,4.1,2.56,2.87
4,BWEN,-41.54589371980676,104.95867768595042,19.806763285024164,2.07,1.21,2.48
5,CAPR,-15.942028985507244,277.58620689655174,217.3913043478261,1.38,1.16,4.38
6,CCF,-24.794952681388015,38.56263982102909,4.206098843322819,95.1,71.52,99.1
7,CCLP,-68.78048780487804,-28.968749999999996,-77.82439024390243,2.05,0.64,0.4546
8,CFFN,-22.97808012093727,18.155053974484787,-8.994708994709004,13.23,10.19,12.04
9,CLNE,-50.17301038062285,45.13888888888888,-27.681660899653988,2.89,1.44,2.09
10,CODA,-31.50887573964497,25.485961123110144,-14.053254437869825,6.76,4.63,5.81
11,DRIO,-48.649774774774784,38.818833746354095,-28.71621621621622,8.88,4.5599,6.33
12,DSSI,-8.24742268041238,8.98876404494383,0.0,10.67,9.79,10.67
13,EGRX,-26.85833175714015,34.26428756141712,-1.7968602231889461,52.87,38.67,51.92
14,ENB,-43.435787467238505,36.225779275484435,-22.94496068620442,41.97,23.74,32.34
15,EPIX,-31.818181818181817,39.199999999999996,-5.090909090909095,5.5,3.75,5.22
16,ERA,-60.01727115716753,10.583153347732186,-55.78583765112263,11.58,4.63,5.12
17,GRFS,-28.260869565217398,3.360881542699741,-25.849802371541497,25.3,18.15,18.76
18,HAIN,-9.342954804405611,28.00586510263929,16.046334979111286,26.33,23.87,30.555
19,IDEX,-0.6143838091796094,-25.6909090909091,-26.147452114203105,0.5534,0.55,0.4087
20,JKS,-50.673281360737064,9.33908045977012,-46.06661941885187,28.22,13.92,15.22
21,KN,-31.836270608300172,22.76897414512094,-16.316088686753833,17.59,11.99,14.72
22,KRC,-43.18339902619987,19.812283207508674,-31.92673313239045,86.26,49.01,58.72
23,LNC,-71.49194873480118,126.57060518731987,-35.40913572132763,60.86,17.35,39.31
24,MARA,-57.94392523364487,62.93333333333332,-31.476635514018696,1.07,0.45,0.7332
25,MCRB,-5.817174515235457,62.94117647058824,53.462603878116354,3.61,3.4,5.54
26,MEI,-32.88824383164006,33.69377162629757,-10.27576197387519,34.45,23.12,30.91
27,MICT,-32.3076923076923,61.931818181818144,9.6153846153846,1.04,0.7040000000000001,1.14
28,MRIN,-19.70802919708029,36.36363636363635,9.489051094890502,1.37,1.1,1.5
29,MTEX,-53.83997429305913,81.41315697876782,-16.25964010282777,15.56,7.1825,13.03
30,NXE,-50.45454545454546,155.04587155963299,26.363636363636346,1.1,0.545,1.39
31,O,-45.60060248525166,28.518689432395014,-30.086607254926573,79.67,43.34,55.7
32,PAA,-71.56019656019657,109.93520518358532,-40.29484029484029,16.28,4.63,9.72
33,PETS,-5.899076048329779,34.40332326283989,26.47476901208245,28.14,26.48,35.59
34,PRAA,-36.65681268476216,48.49384811200679,-5.939263638806774,37.21,23.57,35.0
35,PRPO,-60.28823529411765,21.907865501407187,-51.58823529411765,1.7,0.6751,0.823
36,RELV,-2.985074626865674,8.092307692307688,4.86567164179104,3.35,3.25,3.513
37,SNSS,-48.06493506493507,-1.5253813453363327,-48.85714285714286,0.77,0.3999,0.3938
38,STG,-51.6728624535316,16.92307692307692,-43.49442379182156,2.69,1.3,1.52
39,SUNS,-61.644591611479036,85.75539568345323,-28.75275938189846,18.12,6.95,12.91
40,TPR,-62.26818830242511,32.23062381852552,-50.106990014265335,28.04,10.58,13.99
41,TRST,-42.4203821656051,47.78761061946903,-14.904458598726116,7.85,4.52,6.68
42,UAA,-51.35787567893784,12.282878411910673,-45.383222691611344,16.57,8.06,9.05
43,UCTT,-49.018112488083894,52.72999252056846,-22.135367016205908,26.225,13.37,20.42
44,VXRT,77.88461538461539,43.243243243243235,154.8076923076923,1.04,1.85,2.65
45,WVVI,-33.91304347826088,33.771929824561404,-11.594202898550733,6.9,4.56,6.1
46,ZYNE,-23.9085239085239,47.26775956284151,12.05821205821206,4.81,3.66,5.39
