,Symbol,Correction,Advance,Recovery,20200219,20200323,20200528
0,AFL,-50.16488845780795,42.58466329311017,-28.942774005819587,51.55,25.69,36.63
1,ALRS,-24.195032198712042,12.62135922330096,-14.627414903403865,21.74,16.48,18.56
2,AROC,-60.44340723453909,84.070796460177,-27.18786464410735,8.57,3.39,6.24
3,BL,-27.916787896421297,45.71140262361252,5.0334594122781615,68.74,49.55,72.2
4,BOH,-47.33740967204003,36.62655689254803,-28.04891606448027,89.95,47.37,64.72
5,CAC,-35.22679101314116,13.907068062827237,-26.21873675286138,47.18,30.56,34.81
6,CMRE,-52.27882037533512,36.516853932584276,-34.85254691689007,7.46,3.56,4.86
7,COLB,-43.49661081979793,13.988229968311453,-35.59278680138125,39.095,22.09,25.18
8,CSCO,-25.25383452149492,31.777456647398836,-1.5014041909699725,46.29,34.6,45.595
9,CSGS,-26.829730754645425,21.922777921741364,-10.788775123246122,52.74,38.59,47.05
10,ECL,-40.459321953307025,68.83085769046478,0.5230374209500235,210.31,125.22,211.41
11,EFC,-71.82581322140608,93.48230912476724,-45.48793284365162,19.06,5.37,10.39
12,FBM,-52.2837184309511,54.39189189189189,-26.329930145083285,18.61,8.88,13.71
13,FCCO,-31.32701421800948,2.0703933747411933,-29.905213270142188,21.1,14.49,14.79
14,FN,-21.731588077590274,28.249042917590156,0.37848919728749725,63.41,49.63,63.65
15,GHL,-47.116493656286046,11.341330425299901,-41.11880046136101,17.34,9.17,10.21
16,GMED,-32.301980198019805,44.42413162705667,-2.227722772277237,56.56,38.29,55.3
17,INFY,-36.99115044247788,29.07303370786516,-18.672566371681423,11.3,7.12,9.19
18,IRM,-33.72781065088757,14.732142857142861,-23.964497041420113,33.8,22.4,25.7
19,IVZ,-56.98134539287734,6.833114323258875,-54.04183154324477,17.69,7.61,8.13
20,JBLU,-67.03507928880346,48.25072886297375,-51.129264776549725,20.81,6.86,10.17
21,KEY,-56.61429295489103,41.238317757009334,-38.7227572225038,19.73,8.56,12.09
22,LBC,-28.17932296431839,34.267515923566876,-3.5681610247026585,10.93,7.85,10.54
23,LNN,-22.31811432813661,13.3914705531,-11.915367483296217,107.76,83.71,94.92
24,MDRX,-36.823935558112765,21.857923497267763,-23.014959723820475,8.69,5.49,6.69
25,MOHO,21.52269399707175,-57.7710843373494,-48.682284040995604,6.83,8.3,3.505
26,NAVI,-57.72584583188003,26.897689768976914,-46.355074991280084,14.335,6.06,7.69
27,NRG,-43.75634517766497,64.44043321299638,-7.512690355329952,39.4,22.16,36.44
28,NS,-69.36502042331972,109.57575757575756,-35.79650946899369,26.93,8.25,17.29
29,NVS,-27.30919563875745,22.08858072732418,-11.252828636083109,97.22,70.67,86.28
30,OTEX,-38.45829823083403,39.938398357289536,-13.87952822240943,47.48,29.22,40.89
31,PETQ,-48.24611845888442,68.94444444444444,-12.564692351926398,34.78,18.0,30.41
32,PNC,-47.41441147701337,43.60119047619047,-24.486468862080205,153.35,80.64,115.8
33,QNST,-56.41379310344828,59.49367088607595,-30.482758620689655,14.5,6.32,10.08
34,RBA,-35.54425699098683,53.137325206167084,-1.2941992142361964,43.27,27.89,42.71
35,SCU,-60.39395005276118,15.097690941385446,-54.4143510376363,28.43,11.26,12.96
36,TCF,-55.33820410087203,60.05277044854881,-28.51755833136932,42.43,18.95,30.33
37,TGI,-80.49586776859505,93.00847457627118,-62.35537190082645,24.2,4.72,9.11
38,UIS,-42.25824482951369,12.294288480154885,-35.159306875349365,17.89,10.33,11.6
39,UMC,-16.16541353383459,12.556053811659183,-5.639097744360916,2.66,2.23,2.51
40,VIOT,-40.78947368421052,16.222222222222232,-31.18421052631578,7.6,4.5,5.23
41,VMW,-34.86108544323293,34.70777378475506,-12.252818333025326,162.33,105.74,142.44
42,WLDN,-49.97333333333333,40.138592750533036,-29.893333333333334,37.5,18.76,26.29
43,YNDX,-36.858071505958826,39.4646533973919,-11.939328277356442,46.15,29.14,40.64
44,ZEN,-38.08042657187291,51.38141370649443,-6.265274383470341,90.02,55.74,84.38
