,Symbol,Correction,Advance,Recovery,20200219,20200323,20200528
0,AMC,-56.90834473324214,60.95238095238096,-30.642954856361143,7.31,3.15,5.07
1,ASNA,-62.763466042154576,22.641509433962256,-54.33255269320842,4.27,1.59,1.95
2,BIDU,-32.832633826669614,16.553387415040557,-21.714159487519336,135.81,91.22,106.32
3,CHNG,-48.19047619047619,51.59313725490195,-21.460317460317462,15.75,8.16,12.37
4,CLPT,-41.55172413793103,23.598820058997056,-27.758620689655164,5.8,3.39,4.19
5,CTRN,-61.93997390169638,89.02857142857141,-28.05567638103523,22.99,8.75,16.54
6,CWK,-49.00731452455591,7.991803278688519,-44.93207941483804,19.14,9.76,10.54
7,DCOM,-38.770192808754565,29.957446808510632,-20.42730588848359,19.19,11.75,15.27
8,DEA,-12.06070287539936,15.16802906448683,1.2779552715654965,25.04,22.02,25.36
9,DJCO,-29.474039109912344,33.85600917869777,-5.596763317599468,296.6,209.18,280.0
10,DVN,-72.79929577464789,88.67313915857605,-48.67957746478872,22.72,6.18,11.66
11,DXYN,-45.52845528455284,22.388059701492523,-33.333333333333336,1.23,0.67,0.82
12,EBR,-65.02242152466368,71.7948717948718,-39.91031390134528,8.92,3.12,5.36
13,FLL,-76.74418604651162,144.99999999999997,-43.02325581395349,3.44,0.8,1.96
14,FRHC,-23.631990378833436,36.377952755905525,4.149128081779923,16.63,12.7,17.32
15,FSTR,-39.77653631284916,15.398886827458258,-30.502793296089383,17.9,10.78,12.44
16,GILD,7.809948032665189,3.732268282605693,11.833704528582034,67.35,72.61,75.32
17,GPS,-63.44586728754364,52.70700636942674,-44.179278230500586,17.18,6.28,9.59
18,HCC,-43.657086223984145,27.352682497801243,-28.24578790882061,20.18,11.37,14.48
19,HRTG,-18.949958982772756,27.22672064777327,3.1173092698933615,12.19,9.88,12.57
20,HSKA,-43.26419848807909,47.79637854458489,-16.146540027137053,103.18,58.54,86.52
21,IRCP,-45.03937007874015,-12.464183381088827,-51.889763779527556,12.7,6.98,6.11
22,ISDR,-25.75,14.478114478114469,-15.000000000000005,12.0,8.91,10.2
23,JRVR,-29.391504018369687,25.04065040650407,-11.710677382319162,43.55,30.75,38.45
24,LAIX,-33.26226012793178,-4.472843450479223,-36.24733475479744,4.69,3.13,2.99
25,MCHX,-51.18644067796611,10.416666666666677,-46.101694915254235,2.95,1.44,1.59
26,NNBR,-77.54189944134079,105.97014925373135,-53.74301675977654,8.95,2.01,4.14
27,OFG,-54.24644084437899,34.012875536480685,-38.684339715267555,20.37,9.32,12.49
28,PLXP,-62.89424860853432,95.5,-27.45825602968459,5.39,2.0,3.91
29,PNNT,-70.27439024390243,73.33333333333333,-48.47560975609756,6.56,1.95,3.38
30,PRGO,-28.597972972972972,30.186893778093204,-7.043918918918921,59.2,42.27,55.03
31,RNET,-52.36686390532544,-35.40372670807454,-69.23076923076923,3.38,1.61,1.04
32,SIEN,-82.90816326530613,283.0845771144279,-34.52380952380952,5.88,1.005,3.85
33,SMCI,-39.15094339622642,51.04353011329755,-8.091436865021773,27.56,16.77,25.33
34,SNP,-19.542124542124547,6.829046209879354,-14.047619047619051,54.6,43.93,46.93
35,SOLO,-51.41509433962265,9.708737864077657,-46.69811320754718,2.12,1.03,1.13
36,SSTK,-10.055195584353262,-1.8676627534685053,-11.735061195104393,41.67,37.48,36.78
37,STCN,-31.944444444444446,-50.265306122448976,-66.15277777777777,1.44,0.98,0.4874
38,SVMK,-47.766807710390225,76.32763276327633,-7.898448519040901,21.27,11.11,19.59
39,TA,-55.46633724521309,92.7877947295423,-14.14453366275479,16.19,7.21,13.9
40,TITN,-32.94018534119629,36.55778894472361,-8.424599831508004,11.87,7.96,10.87
41,TPVG,-69.0677966101695,121.23287671232877,-31.567796610169495,14.16,4.38,9.69
42,UVV,-22.2020568663037,13.167444271643335,-11.958056059689467,49.59,38.58,43.66
43,VOC,-58.41121495327103,15.168539325842685,-52.10280373831777,4.28,1.78,2.05
44,WK,-35.765525722484114,38.99170389278878,-10.719409715105547,48.79,31.34,43.56
