,Symbol,Correction,Advance,Recovery,20200219,20200323,20200528
0,AEE,-28.53982300884956,20.4823203519635,-13.90312063344201,85.88,61.37,73.94
1,AKTX,-36.18090452261306,57.48031496062992,0.5025125628140708,1.99,1.27,2.0
2,ALT,67.61363636363637,177.28813559322032,364.77272727272725,1.76,2.95,8.18
3,AMSF,-25.883017801638882,20.20587113991613,-10.907035885843456,70.78,52.46,63.06
4,APDN,10.863509749303626,146.73366834170855,173.5376044568245,3.59,3.98,9.82
5,AXGT,-55.02283105022831,68.02030456852792,-24.429223744292234,4.38,1.97,3.31
6,CRMD,-57.25308641975309,66.4259927797834,-28.858024691358022,6.48,2.77,4.61
7,CTS,-35.991889151740445,14.783526927138315,-26.529232848935454,29.59,18.94,21.74
8,CVGI,-66.17021276595746,59.11949685534589,-46.17021276595745,4.7,1.59,2.53
9,CXW,-47.911694510739856,43.8717067583047,-25.059665871121723,16.76,8.73,12.56
10,ENBL,-77.65432098765432,134.25414364640886,-47.654320987654316,8.1,1.81,4.24
11,ENS,-43.13038793103448,49.668403600189485,-14.88415948275862,74.24,42.22,63.19
12,EQBK,-40.694345025053686,2.8364514182257023,-39.01216893342878,27.94,16.57,17.04
13,ESLT,-27.817465205074516,20.766146233256563,-12.82793447468899,162.38,117.21,141.55
14,EYPT,-51.98429319371728,-7.283829462435949,-55.48167539267015,1.91,0.9171,0.8503
15,FDX,-30.64416035745314,17.349677881173942,-18.611145587687716,161.14,111.76,131.15
16,FLWS,-28.1354051054384,70.81081081081084,22.752497225305223,18.02,12.95,22.12
17,GAIN,-51.884700665188475,69.27803379416282,-18.551367331855136,13.53,6.51,11.02
18,GLOP,-57.92079207920792,172.9411764705882,14.851485148514843,4.04,1.7,4.64
19,IMO,-64.16494845360825,84.57997698504028,-33.85567010309279,24.25,8.69,16.04
20,INOV,-34.53075886843287,32.99039780521262,-12.932195779074984,22.27,14.58,19.39
21,LMRK,-53.3684827182191,34.29648241206029,-37.375512595196255,17.07,7.96,10.69
22,MMM,-26.026107694238735,33.04487995249002,-1.581523785615671,159.34,117.87,156.82
23,MSM,-34.253132479234125,51.26338329764454,-0.5490637758693517,71.03,46.7,70.64
24,NCTY,-56.43617021276596,48.962148962148966,-35.106382978723396,0.94,0.4095,0.61
25,NTIC,-57.54646840148698,27.6707530647986,-45.7992565055762,13.45,5.71,7.29
26,OMER,-18.452380952380942,38.22992700729926,12.723214285714292,13.44,10.96,15.15
27,ORRF,-39.74422036399409,2.0408163265306123,-38.514510575504175,20.33,12.25,12.5
28,OTLK,-44.90745423283099,85.42316871672482,2.1543440881966203,0.9887,0.5447,1.01
29,PED,-34.400000000000006,-5.146341463414622,-37.775999999999996,1.25,0.82,0.7778
30,PETZ,-37.380645161290325,6.119925819080982,-33.54838709677419,1.55,0.9706,1.03
31,PVH,-66.27191454777662,70.60240963855422,-42.45907349355625,86.13,29.05,49.56
32,RBKB,-41.00456621004566,2.786377708978324,-39.3607305936073,10.95,6.46,6.64
33,REPH,-58.02833530106258,-32.63009845288327,-71.72373081463991,16.94,7.11,4.79
34,RRD,-70.23021582733813,42.58095698405026,-57.55395683453238,2.78,0.8276,1.18
35,RWT,-76.1663856098932,27.358490566037737,-69.64586846543001,17.79,4.24,5.4
36,SAFT,-25.802628743805208,14.331348918251765,-15.169144580909286,92.82,68.87,78.74
37,SAIL,-39.765166340508806,49.25276153346327,-10.097847358121337,25.55,15.39,22.97
38,SYN,-39.54562957258374,22.929936305732486,-25.683480939545625,0.5194,0.314,0.386
39,TRV,-34.309716749684036,21.76324128564962,-20.01338190469109,134.51,88.36,107.59
40,UHT,-49.94042417983954,49.92066010790225,-24.950353483199613,125.89,63.02,94.48
41,UMPQ,-48.06722689075631,25.782092772384043,-34.67787114845939,17.85,9.27,11.66
42,UTL,-35.33974557865343,16.60268714011517,-24.604405833074768,64.46,41.68,48.6
43,VOYA,-51.400672322714904,50.1646903820817,-27.020970065631495,62.47,30.36,45.59
44,WEYS,-27.115716753022458,11.078199052132709,-19.041450777202073,23.16,16.88,18.75
