,Symbol,Correction,Advance,Recovery,20200219,20200323,20200528
0,ADXS,-52.33644859813084,35.92156862745099,-35.21495327102804,1.07,0.51,0.6932
1,AYTU,157.93103448275863,-25.133689839572202,93.10344827586208,0.725,1.87,1.4
2,BRT,-49.60272417707151,20.270270270270256,-39.38706015891033,17.62,8.88,10.68
3,BTI,-36.3720073664825,46.34587554269176,-6.883057090239399,43.44,27.64,40.45
4,BW,-80.63326226012794,141.1097654959815,-53.30490405117271,4.69,0.9083,2.19
5,CE,-42.54041570438799,48.456591639871384,-14.697459584295608,108.25,62.2,92.34
6,CHFS,-14.947368421052635,17.57425742574258,0.0,0.38,0.3232,0.38
7,CINR,-40.23738872403561,19.56305858987089,-28.54599406528191,16.85,10.07,12.04
8,CORR,-56.91111111111111,-43.01186178442496,-75.44444444444446,45.0,19.39,11.05
9,CUZ,-43.55219650448749,30.41841004184102,-26.38167217760983,42.34,23.9,31.17
10,DCI,-36.23439000960615,43.17565531786684,-8.703170028818434,52.05,33.19,47.52
11,DKL,-77.02567522507503,255.29753265602324,-18.372790930310096,29.99,6.89,24.48
12,DLTR,-16.98010653331883,27.851250491030502,6.1419719534732105,91.99,76.37,97.64
13,EQM,-52.546800174140174,80.18348623853211,-14.497170222028727,22.97,10.9,19.64
14,EXAS,-53.96995708154507,77.77071413435051,-18.172063987514626,102.52,47.19,83.89
15,FUL,-46.99098343468231,52.33386075949366,-19.249318515412035,47.69,25.28,38.51
16,GRBK,-52.945859872611464,80.37225042301185,-15.127388535031848,12.56,5.91,10.66
17,GTLS,-74.96711968434897,134.7343841214244,-41.23922256320328,68.43,17.13,40.21
18,HL,-44.87951807228915,72.13114754098359,-5.120481927710841,3.32,1.83,3.15
19,HLIO,-10.203609440074032,-9.971656789487257,-19.157797316057383,43.22,38.81,34.94
20,IBOC,-54.63054187192118,74.04994571118348,-21.034482758620687,40.6,18.42,32.06
21,INGN,6.3792344918609745,-20.636889991728694,-15.574131104267483,45.46,48.36,38.38
22,LITB,-25.244974239822206,9.459459459459469,-18.173552884129705,0.9899,0.74,0.81
23,MDGS,-34.96134495030065,116.0377358490566,40.508037796048605,1.6298,1.06,2.29
24,MGA,-53.41411809963455,74.0297274979356,-18.926716676283906,51.99,24.22,42.15
25,MOD,-61.3849765258216,54.40729483282675,-40.37558685446009,8.52,3.29,5.08
26,MPLX,-52.78481012658228,66.48793565683647,-21.39240506329114,23.7,11.19,18.63
27,OOMA,-36.80404916847433,45.76659038901602,-7.881417208966015,13.83,8.74,12.74
28,PACD,-62.716981132075475,-34.21052631578947,-75.47169811320755,1.59,0.5928,0.39
29,PBFX,-79.57446808510637,137.2685185185185,-51.53664302600472,21.15,4.32,10.25
30,PLG,-56.91935483870968,42.26881317858479,-38.70967741935484,2.48,1.0684,1.52
31,PSV,-66.36893203883496,44.3418013856813,-51.45631067961165,1.03,0.3464,0.5
32,QCOM,-30.95185512367491,24.91604030065568,-13.747791519434632,90.56,62.53,78.11
33,QTS,-28.336320677855632,51.614370168258326,8.65243604366956,61.37,43.98,66.68
34,RUBI,-60.86274509803921,24.8496993987976,-51.13725490196079,12.75,4.99,6.23
35,RUSHA,-32.41427247451343,42.8865272540281,-3.4291010194624585,43.16,29.17,41.68
36,RUSHB,-41.51898734177215,42.7784336875246,-16.501726121979292,43.45,25.41,36.28
37,RWLK,-46.02272727272727,165.26315789473685,43.18181818181818,0.88,0.475,1.26
38,SPI,-56.309056548917,53.38545999001832,-32.984445413577546,1.3758,0.6011,0.922
39,STAG,-43.118981050015535,47.35117422173677,-16.185150667909284,32.19,18.31,26.98
40,UBS,-39.92395437262358,36.0759493670886,-18.25095057034221,13.15,7.9,10.75
41,VIRC,-46.7005076142132,7.619047619047604,-42.63959390862945,3.94,2.1,2.26
42,VZ,-13.58639642734455,10.753329357980514,-4.294057025077293,58.22,50.31,55.72
43,WHR,-56.37820948240728,89.45811273746497,-17.354978943078383,147.22,64.22,121.67
