,Symbol,Correction,Advance,Recovery,20200219,20200323,20200528
0,ADI,-31.26160303495036,30.295913574448093,-10.43667769795787,123.89,85.16,110.96
1,ADM,-33.34091425972254,33.06038894575231,-11.303161246304295,43.97,29.31,39.0
2,AU,-26.45654250238778,56.883116883116884,15.377268385864369,20.94,15.4,24.16
3,BANR,-48.35061262959472,39.562043795620454,-27.91705937794533,53.05,27.4,38.24
4,BLMN,-76.13882863340564,107.27272727272727,-50.54229934924078,23.05,5.5,11.4
5,BNED,-58.88594164456233,6.451612903225797,-56.233421750663126,3.77,1.55,1.65
6,CADE,-69.65558194774347,65.94911937377691,-49.6437054631829,16.84,5.11,8.48
7,CAKE,-61.570450097847356,38.5741565881604,-46.74657534246575,40.88,15.71,21.77
8,CLH,-54.76516187870497,53.04939516129031,-30.768353853169174,87.72,39.68,60.73
9,CRWS,-26.257861635220124,2.558635394456273,-24.371069182389945,6.36,4.69,4.81
10,DRQ,-24.347612013786307,-1.3016596160104201,-25.33234859675037,40.62,30.73,30.33
11,EBS,-23.180551254258283,65.24894174561581,26.943326107153926,64.58,49.61,81.98
12,EIX,-41.975469728601254,30.402518551832703,-24.334551148225465,76.64,44.47,57.99
13,FELE,-24.624725923427228,15.462072051913188,-12.9701467363805,59.29,44.69,51.6
14,FIZZ,-17.384547069271754,52.244020424617034,25.77708703374778,45.04,37.21,56.65
15,FWRD,-32.1279554937413,12.295081967213111,-23.78303198887343,64.71,43.92,49.32
16,GECC,-67.33167082294264,33.58778625954198,-56.35910224438902,8.02,2.62,3.5
17,GIL,-61.149761991944345,32.799245994344965,-48.40717685829367,27.31,10.61,14.09
18,HBCP,-46.59845132743363,31.693423096841023,-29.67367256637168,36.16,19.31,25.43
19,HPE,-45.88804422944022,22.477650063856956,-33.72494816862474,14.47,7.83,9.59
20,HUBB,-40.98951953178168,43.4551954791835,-15.346399891112016,146.94,86.71,124.39
21,INVA,-41.80623973727422,62.07674943566592,-5.681444991789822,15.225,8.86,14.36
22,JNJ,-25.379347388210014,32.238617959330576,-1.3226802739358123,148.94,111.14,146.97
23,KTOS,-49.30321960595867,71.75355450236967,-12.92647765497356,20.81,10.55,18.12
24,LTRX,-53.42857142857143,123.31288343558285,4.0000000000000036,3.5,1.63,3.64
25,MET,-54.56651863294072,54.951126221844454,-29.600308939949795,51.79,23.53,36.46
26,MFIN,-66.61654135338345,11.7117117117117,-62.70676691729323,6.65,2.22,2.48
27,MMSI,-31.7893710385178,55.68263045032167,6.192101413944415,41.02,27.98,43.56
28,MUSA,-23.562517587468346,39.845379801202604,6.894287590282333,106.61,81.49,113.96
29,NNA,-45.27938342967246,103.87323943661973,11.560693641618489,5.19,2.84,5.79
30,ORI,-46.899224806201545,28.54825628548256,-31.739879414298017,23.22,12.33,15.85
31,PAAS,-44.457978075517666,96.85672514619883,9.338205440519694,24.63,13.68,26.93
32,PLAY,-78.46486486486486,36.847389558232926,-70.52972972972972,46.25,9.96,13.63
33,PLXS,-37.883310719131615,43.79641764962865,-10.678426051560386,73.7,45.78,65.83
34,RGA,-62.25955204216074,62.20980973991972,-38.781291172595516,151.8,57.29,92.93
35,RS,-39.06143344709898,36.76841220946514,-16.655290102389074,117.2,71.42,97.68
36,RYI,-52.13581599123768,21.739130434782613,-41.73055859802848,9.13,4.37,5.32
37,SEAS,-70.86679590141235,77.66159695817493,-48.24148435336471,36.11,10.52,18.69
38,TBLT,-15.96347607052897,-17.572124391157733,-30.730478589420652,1.588,1.3345,1.1
39,TRMD,-11.414392059553359,11.764705882352951,-0.9925558312655095,8.06,7.14,7.98
40,USNA,-29.518072289156617,67.20333929636254,17.84813673297844,71.38,50.31,84.12
41,USPH,-57.055026129726414,35.50465282748746,-41.80756225023056,130.12,55.88,75.72
42,WNC,-43.362831858407084,40.482954545454554,-20.43443282381335,12.43,7.04,9.89
43,WSO,-18.55251544571933,27.6332899869961,3.954104148278905,169.95,138.42,176.67
44,WYND,-66.15663378296759,92.26650803093399,-34.930541574390986,49.67,16.81,32.32
