,Symbol,Correction,Advance,Recovery,20200219,20200323,20200528
0,ATKR,-56.44517492369101,48.62533692722372,-35.26649448227283,42.59,18.55,27.57
1,BBL,-42.00913242009132,52.99212598425197,-11.278538812785383,43.8,25.4,38.86
2,BCML,-46.28975265017668,7.2368421052631495,-42.40282685512368,22.64,12.16,13.04
3,BPMP,-44.38162544169611,63.15120711562897,-9.25795053003534,14.15,7.87,12.84
4,BSTC,-31.957328385899824,44.785276073619634,-1.4842300556586392,64.68,44.01,63.72
5,BWB,-38.80706921944035,25.39109506618531,-23.269513991163475,13.58,8.31,10.42
6,BYD,-64.3003813435025,79.12900575184882,-36.051628043414496,34.09,12.17,21.8
7,CBNK,-30.651872399445214,16.300000000000008,-19.348127600554776,14.42,10.0,11.63
8,CCOI,-11.074705111402363,14.134119380987478,1.494102228047183,76.3,67.85,77.44
9,CTAS,-48.379675277722995,60.26996052464026,-17.268125944915532,304.26,157.06,251.72
10,EBSB,-46.464088397790064,20.43343653250775,-35.524861878453045,18.1,9.69,11.67
11,EEFT,-48.712089738263394,29.01309572026463,-33.83187924110233,144.42,74.07,95.56
12,ESNT,-57.861369399830934,69.25777331995987,-28.6770921386306,47.32,19.94,33.75
13,FCN,-18.105116495084758,15.396975425330819,-5.495781407229657,129.19,105.8,122.09
14,GILT,-46.09137055837564,56.68549905838043,-15.532994923857864,9.85,5.31,8.32
15,GLOB,-43.09824262599675,95.97278911564625,11.511960981652091,129.17,73.5,144.04
16,IBCP,-49.63133640552996,32.38792314730102,-33.31797235023041,21.7,10.93,14.47
17,IBP,-55.16304347826087,90.64935064935067,-14.51863354037267,77.28,34.65,66.06
18,KMPR,-28.874222617083394,13.775874375446108,-19.076024876253342,78.79,56.04,63.76
19,KOP,-67.42239274502965,80.40685224839402,-41.22776421346355,28.67,9.34,16.85
20,LHCG,-22.12064636580185,32.214598660825,2.9678748470997136,155.33,120.97,159.94
21,LII,-32.166666666666664,28.45328698987235,-12.865853658536587,246.0,166.87,214.35
22,MOMO,-30.66498581783801,-9.31818181818182,-37.125748502994014,31.73,22.0,19.95
23,MTZ,-57.66851188537935,51.92307692307692,-35.68870074894171,61.42,26.0,39.5
24,MVBF,-53.60824742268041,66.66666666666667,-22.680412371134015,19.4,9.0,15.0
25,NOW,-28.62574080286258,48.04167319442269,5.663647545566362,357.72,255.32,377.98
26,PAGS,-59.46312364425164,99.3979933110368,-19.170281995661615,36.88,14.95,29.81
27,REXR,-33.40943683409437,14.599999999999998,-23.68721461187215,52.56,35.0,40.11
28,RVLV,-64.42495126705653,88.76712328767124,-32.84600389863548,20.52,7.3,13.78
29,SBBX,-46.89795918367347,36.81783243658725,-27.3469387755102,24.5,13.01,17.8
30,SBCF,-45.87800369685767,52.04918032786886,-17.7079482439926,27.05,14.64,22.26
31,SBS,-61.30952380952381,65.29914529914531,-36.04497354497354,15.12,5.85,9.67
32,SLP,-24.170984455958553,65.45951486163307,25.46632124352331,38.6,29.27,48.43
33,SPSC,-37.7310924369748,80.43184885290148,12.352941176470578,59.5,37.05,66.85
34,TDG,-52.978511056357796,42.98079793055418,-32.768299909553065,641.26,301.53,431.13
35,TSBK,-40.895953757225435,10.085574572127154,-34.93497109826589,27.68,16.36,18.01
36,UFPI,-35.10277389742566,38.53013530135299,-10.09778487327879,50.11,32.52,45.05
37,VBTX,-61.25967628430684,62.76112624886469,-36.94581280788177,28.42,11.01,17.92
38,VOD,-37.4251497005988,31.578947368421066,-17.66467065868263,20.04,12.54,16.5
39,VRTX,-18.391314876099763,37.174224815785564,11.946081201065459,247.78,202.21,277.38
40,WSBF,-28.715083798882677,19.357366771159878,-14.916201117318428,17.9,12.76,15.23
41,ZIXI,-58.268733850129195,100.61919504643964,-16.279069767441857,7.74,3.23,6.48
