,Symbol,Correction,Advance,Recovery,20200219,20200323,20200528
0,AFIN,-46.63573085846867,10.144927536231874,-41.22196442382057,12.93,6.9,7.6
1,AKR,-45.88986432561851,-9.587020648967556,-51.07741420590583,25.06,13.56,12.26
2,ALG,-40.60418280402788,35.11997913406363,-19.744384198295894,129.1,76.68,103.61
3,AMOV,-36.97701810305849,18.15766164747565,-25.533518290062023,17.9141,11.29,13.34
4,AMPY,-89.0528233151184,88.01996672212977,-79.41712204007287,5.49,0.601,1.13
5,BBVA,-46.098003629764065,7.744107744107744,-41.923774954627945,5.51,2.97,3.2
6,BRKA,-30.232558139534884,15.43125,-19.46656976744186,344000.0,240000.0,277035.0
7,BRKB,-29.27499563775956,14.167643249244433,-19.25492933170477,229.24,162.13,185.1
8,CABO,-29.80661225619035,45.92178594795715,2.4274450131415075,1807.25,1268.57,1851.12
9,CB,-42.63443152061385,31.32696390658173,-24.663540588271122,164.21,94.2,123.71
10,COG,-9.358974358974354,36.633663366336634,23.84615384615385,15.6,14.14,19.32
11,CPB,-10.169491525423728,15.350570696482654,3.6200041849759446,47.79,42.93,49.52
12,CPK,-26.181001938577705,24.3676572218383,-8.193041526374861,98.01,72.35,89.98
13,CSTL,-19.07750235331033,48.041876696393956,19.799184185754623,31.87,25.79,38.18
14,CVS,-26.037893563666756,25.372009794688264,-7.272220674282528,71.78,53.09,66.56
15,DHX,-14.13793103448275,7.63052208835341,-7.586206896551716,2.9,2.49,2.68
16,EQC,-11.553663727576772,15.744242007562741,2.371541501976288,32.89,29.09,33.67
17,ESE,-32.832206639087886,24.906113865104423,-16.10331954394107,99.11,66.57,83.15
18,GDP,-36.43926788685524,104.45026178010471,29.950083194675535,6.01,3.82,7.81
19,GTY,-44.23076923076923,54.22691879866518,-13.988833746898267,32.24,17.98,27.73
20,HRI,-67.2312556458898,101.58511371467954,-33.94308943089431,44.28,14.51,29.25
21,HUBG,-20.403749098774334,6.725543478260883,-15.050468637346782,55.48,44.16,47.13
22,HZNP,-31.031613976705493,96.01930036188178,35.19134775374375,36.06,24.87,48.75
23,IBKC,-60.296974743269494,56.44879412792729,-37.88509575353872,72.06,28.61,44.76
24,IOTS,18.27284105131413,26.98412698412699,50.187734668335416,7.99,9.45,12.0
25,IVAC,-51.085383502170764,55.917159763313606,-23.733719247467445,6.91,3.38,5.27
26,LEGH,-28.10548230395559,22.779922779922792,-11.727966689798746,14.41,10.36,12.72
27,MDLZ,-29.291736930860033,22.609110422132115,-13.30522765598651,59.3,41.93,51.41
28,MGIC,-37.74954627949183,47.376093294460624,-8.25771324863884,11.02,6.86,10.11
29,MYRG,-33.12683403977828,37.93271574841539,-7.760026084121299,30.67,20.51,28.29
30,NAT,-23.723723723723722,77.9527559055118,35.735735735735716,3.33,2.54,4.52
31,NGHC,-34.94423791821561,44.642857142857146,-5.901486988847582,21.52,14.0,20.25
32,NMM,-59.90384615384615,57.55395683453238,-36.82692307692307,10.4,4.17,6.57
33,NSC,-43.16584596261414,51.63189771197847,-13.821293684562795,209.17,118.88,180.26
34,PPL,-47.03703703703704,47.60623991393223,-21.82336182336182,35.1,18.59,27.44
35,SACH,-61.848341232227476,81.98757763975155,-30.568720379146914,4.22,1.61,2.93
36,SBNY,-50.092194222495394,45.79912424740011,-27.23485624530493,146.43,73.08,106.55
37,STRM,-56.28888888888889,61.83697678359601,-29.259259259259267,1.35,0.5901,0.955
38,SVT,-41.166666666666664,37.31044825862356,-19.215686274509796,10.2,6.001,8.24
39,TWTR,-36.31673974722724,27.987039287160794,-18.493680680938876,38.77,24.69,31.6
40,UE,-60.131434830230006,38.873626373626365,-44.633077765607894,18.26,7.28,10.11
41,WBA,-16.24735932398694,-4.081632653061227,-19.665834453620132,52.07,43.61,41.83
42,WF,-38.24228028503563,37.75641025641025,-14.924782264449735,25.26,15.6,21.49
43,WWW,-54.59968602825745,50.138312586445366,-31.83673469387755,31.85,14.46,21.71
44,ZBH,-49.500062492188476,58.38386338324464,-20.01624796900388,160.02,80.81,127.99
