,Symbol,Correction,Advance,Recovery,20200219,20200323,20200528
0,ACIU,-37.149532710280376,41.82156133828996,-10.864485981308418,8.56,5.38,7.63
1,AI,-69.44024205748865,22.277227722772285,-62.63237518910742,6.61,2.02,2.47
2,AMK,-54.7749391727494,73.83994620040352,-21.380778588807786,32.88,14.87,25.85
3,AVID,-35.48028872848418,9.466437177280564,-29.372570794003334,9.005,5.81,6.36
4,BHTG,-36.70212765957447,-8.403361344537803,-42.02127659574467,1.88,1.19,1.09
5,BMRN,-20.58528986313564,47.96132828919713,17.503059975520184,89.87,71.37,105.6
6,CCRN,-27.32615083251715,-15.498652291105126,-38.58961802154751,10.21,7.42,6.27
7,CHA,-32.41379310344828,19.606413994169092,-19.162561576354683,40.6,27.44,32.82
8,CHMA,-22.36842105263157,80.79096045197741,40.35087719298248,4.56,3.54,6.4
9,CIM,-62.49451032059728,-0.35128805620608156,-62.62626262626263,22.77,8.54,8.51
10,CIZN,-11.079812206572766,16.367476240760283,3.474178403755861,21.3,18.94,22.04
11,CMTL,-61.03818615751789,36.90658499234302,-46.65871121718378,33.52,13.06,17.88
12,COHR,-37.65473179821642,54.65414175918018,-3.5804605350725383,150.26,93.68,144.88
13,CVV,-57.86163522012579,47.263681592039816,-37.94549266247379,4.77,2.01,2.96
14,CYCC,-54.37971213159698,-18.87019230769231,-62.98834818368746,14.59,6.656000000000001,5.4
15,DIS,-39.30644019815995,36.13572761194029,-17.374380750176933,141.3,85.76,116.75
16,ECOR,-58.39823008849557,97.83024888321634,-17.699115044247776,1.13,0.4701,0.93
17,ENR,-44.48140900195695,54.63517800493477,-14.148727984344431,51.1,28.37,43.87
18,GRUB,-44.796628801758885,75.34019249917027,-3.2063026749725174,54.58,30.13,52.83
19,HKIB,-16.68639053254437,-7.670454545454546,-23.076923076923073,8.45,7.04,6.5
20,HLF,-34.603421461897355,73.00832342449463,13.141524105754277,38.58,25.23,43.65
21,HMC,-26.661742983751843,35.24672708962739,-0.812407680945343,27.08,19.86,26.86
22,ICMB,-71.78477690288716,83.25581395348837,-48.29396325459317,7.62,2.15,3.94
23,KSS,-70.25,53.705118411000775,-54.27272727272727,44.0,13.09,20.12
24,LAZ,-50.38869257950531,31.1965811965812,-34.911660777385165,42.45,21.06,27.63
25,LGND,-30.427063812999304,42.883470371420465,-0.591774336719592,101.39,70.54,100.79
26,MAC,-70.81380485726459,5.693430656934315,-69.15210907541542,23.47,6.85,7.24
27,MHLD,-34.92141453831041,151.88679245283018,63.92436149312377,0.8144,0.53,1.335
28,MITO,-48.832558139534875,81.80165439505498,-6.976744186046508,2.15,1.1001,2.0
29,MNSB,-27.917620137299775,-6.730158730158734,-32.768878718535476,21.85,15.75,14.69
30,ONTX,-40.58702561226397,27.407174323473868,-24.30360815105628,0.5349,0.3178,0.4049
31,OPRA,-29.587482219061165,22.222222222222214,-13.94025604551921,7.03,4.95,6.05
32,PACB,-37.19376391982183,25.886524822695037,-20.935412026726066,4.49,2.82,3.55
33,PCYG,-29.32604735883425,35.56701030927835,-4.189435336976328,5.49,3.88,5.26
34,PGEN,-50.326797385620914,2.8508771929824737,-48.91067538126361,4.59,2.28,2.345
35,PLAN,-54.880763116057224,58.809020436927426,-28.34658187599364,62.9,28.38,45.07
36,PLT,-37.48191027496382,45.02314814814813,-9.334298118668602,13.82,8.64,12.53
37,RBS,-51.2241054613936,13.513513513513518,-44.63276836158192,5.31,2.59,2.94
38,ROYT,-48.5640362225097,48.03822937625755,-23.85510996119017,0.3865,0.1988,0.2943
39,SABR,-83.67620751341681,102.19178082191782,-66.99463327370304,22.36,3.65,7.38
40,SGLB,-63.88045389164137,10.619469026548684,-60.044749880134255,6.257000000000001,2.26,2.5
41,SNCR,-30.828516377649333,-26.462395543175482,-49.13294797687861,5.19,3.59,2.64
42,SWX,-33.81831983805668,44.67597017778628,-4.2510121457489864,79.04,52.31,75.68
43,TCS,-42.15456674473067,14.574898785425095,-33.72365339578453,4.27,2.47,2.83
44,UBP,-48.115783724740574,19.47368421052631,-38.01201529219006,18.31,9.5,11.35
45,VMD,-29.49389179755672,98.01980198019803,39.61605584642233,5.73,4.04,8.0
46,WDR,-31.411042944785283,19.588550983899818,-17.975460122699396,16.3,11.18,13.37
47,WOW,-57.9088471849866,96.4968152866242,-17.292225201072387,7.46,3.14,6.17
48,WTRE,-46.396396396396405,13.75095492742552,-39.025389025389025,24.42,13.09,14.89
49,XENE,-39.00060938452163,26.873126873126868,-22.60816575258989,16.41,10.01,12.7
