,Symbol,Correction,Advance,Recovery,20200219,20200323,20200528
0,AAWW,-17.789757412398927,59.42622950819673,31.064690026954175,29.68,24.4,38.9
1,ARDX,-30.518697225572975,25.000000000000007,-13.148371531966214,8.29,5.76,7.2
2,ATEX,-29.392173189009156,57.989386792452834,11.552872606161541,48.04,33.92,53.59
3,ATUS,-30.289299407459048,26.050000000000004,-12.129661903102127,28.69,20.0,25.21
4,AUPH,-37.84323514727909,23.453815261044177,-23.265102346480287,20.03,12.45,15.37
5,BEAM,-36.089425124201554,38.92282065519154,-11.213626685592619,28.18,18.01,25.02
6,CAAP,-66.73003802281369,40.57142857142857,-53.231939163498105,5.26,1.75,2.46
7,CDE,-48.07692307692307,65.74074074074073,-13.942307692307693,6.24,3.24,5.37
8,CPTA,-70.9251101321586,-0.3787878787878875,-71.0352422907489,9.08,2.64,2.63
9,CRESY,-50.92402464065708,43.93305439330543,-29.363449691991793,4.87,2.39,3.44
10,DLPH,-47.399219765929786,58.590852904820764,-16.57997399219766,15.38,8.09,12.83
11,DMRC,-66.08391608391608,62.32427366447985,-44.94596312778131,31.46,10.67,17.32
12,DSX,-53.30882352941177,10.236220472440936,-48.52941176470589,2.72,1.27,1.4
13,DXR,31.720430107526873,9.469387755102042,44.19354838709676,9.3,12.25,13.41
14,EPR,-74.86733490566039,93.48973607038124,-51.37087264150943,67.84,17.05,32.99
15,ESEA,-39.36507936507937,43.97905759162305,-12.698412698412696,3.15,1.91,2.75
16,EXPI,-36.23570800351803,39.72413793103449,-10.905892700087938,11.37,7.25,10.13
17,FFHL,-45.32871972318339,43.67088607594936,-21.453287197231838,2.89,1.58,2.27
18,FORD,-9.009009009009016,20.79207920792079,9.909909909909898,1.11,1.01,1.22
19,FVRR,-22.53333333333334,161.35972461273667,102.46666666666667,30.0,23.24,60.74
20,GDS,-16.818709570409688,9.651046859421742,-8.790844252778236,60.29,50.15,54.99
21,GKOS,-58.99034892353377,45.2570601013758,-40.43058648849294,67.35,27.62,40.12
22,GPX,-52.53863134657837,18.759689922480618,-43.63502575423105,13.59,6.45,7.66
23,HBIO,-35.47169811320755,56.140350877192986,0.7547169811320762,2.65,1.71,2.67
24,HUN,-39.06250000000001,41.336441336441354,-13.87310606060606,21.12,12.87,18.19
25,HURC,-25.007933989209782,32.67033432077868,-0.5077753094255796,31.51,23.63,31.35
26,ICCC,-13.207547169811324,-6.7391304347826,-19.0566037735849,5.3,4.6,4.29
27,ILPT,-42.95503211991435,40.9159159159159,-19.614561027837265,23.35,13.32,18.77
28,IRS,-43.88349514563107,17.993079584775085,-33.786407766990294,5.15,2.89,3.41
29,LPX,-58.12144780137601,71.35714285714285,-28.23810948250075,33.43,14.0,23.99
30,MGLN,-51.33442265795207,106.01566871852265,0.25871459694988796,73.44,35.74,73.63
31,MLAB,-28.767276802390732,36.04279196601816,-3.0930145685468706,267.7,190.69,259.42
32,NWS,-45.91362126245847,47.66584766584765,-20.13289036544851,15.05,8.14,12.02
33,NWSA,-43.66872005475701,44.28918590522478,-18.72005475701574,14.61,8.23,11.875
34,OPI,-33.63959691760522,16.614560071460467,-22.614107883817432,33.74,22.39,26.11
35,OTEL,-65.44893614599106,148.4349258649094,-14.163090128755368,8.7841,3.035,7.54
36,PBFS,-34.33734939759035,-2.4464831804281366,-35.9437751004016,14.94,9.81,9.57
37,PDLI,-25.76177285318559,22.388059701492523,-9.14127423822715,3.61,2.68,3.28
38,RNWK,-59.67741935483871,292.0,58.064516129032256,1.24,0.5,1.96
39,SEB,-28.025006580679126,9.716091327674425,-21.031850486970256,3799.0,2734.33,3000.0
40,SITC,-58.62068965517241,12.878787878787874,-53.29153605015674,12.76,5.28,5.96
41,SJW,-31.095947639604518,23.706548100242532,-14.761175323771065,71.81,49.48,61.21
42,SKT,-52.77777777777778,7.226890756302516,-49.36507936507937,12.6,5.95,6.38
43,TRC,-23.251533742331294,14.708233413269385,-11.963190184049086,16.3,12.51,14.35
44,TTNP,-1.9083969465648871,24.081279723303055,21.713316369804904,0.2358,0.2313,0.287
45,UAN,-67.57086614173228,11.691149690421277,-63.77952755905512,2.54,0.8237,0.92
46,VALE,-45.394190871369304,41.48936170212767,-22.738589211618255,12.05,6.58,9.31
47,VBLT,-22.302158273381284,13.88888888888888,-11.51079136690647,1.39,1.08,1.23
48,YI,-13.91304347826087,27.272727272727256,9.565217391304337,6.9,5.94,7.56
