,Symbol,Correction,Advance,Recovery,20200219,20200323,20200528
0,ABUS,-49.54128440366973,30.909090909090924,-33.944954128440365,3.27,1.65,2.16
1,AMPE,-34.73886669625684,23.350714123781465,-19.499926024559837,0.6759,0.4411,0.5441
2,ANAB,-17.450096587250478,50.078003120124784,23.889246619446226,15.53,12.82,19.24
3,APA,-84.86125746399719,175.40603248259862,-58.30698981383914,28.47,4.31,11.87
4,ATNI,-16.014350945857796,15.514563106796121,-2.9843444227005844,61.32,51.5,59.49
5,AVCO,-44.30538922155689,77.4002795398344,-1.197604790419163,1.67,0.9301,1.65
6,BAK,-73.74149659863946,179.79274611398966,-26.530612244897952,14.7,3.86,10.8
7,BCYC,-33.481012658227854,72.69267364414841,14.873417721518972,15.8,10.51,18.15
8,CDEV,-80.8758389261745,87.75223723460259,-64.09395973154362,2.98,0.5699,1.07
9,CDR,-70.62271062271061,-1.4962593516209488,-71.06227106227107,2.73,0.802,0.79
10,CLW,-11.542610571736775,19.146341463414622,5.393743257820928,27.81,24.6,29.31
11,CSTM,-64.91803278688523,100.0,-29.836065573770483,12.2,4.28,8.56
12,CTRA,-58.584337349397586,61.45454545454547,-33.132530120481924,6.64,2.75,4.44
13,ESTA,-53.51546805946163,70.87294727744165,-20.57051024507835,24.89,11.57,19.77
14,EXK,-35.82089552238805,41.860465116279066,-8.955223880597002,2.01,1.29,1.83
15,FCX,-55.45454545454545,68.64564007421151,-24.87603305785124,12.1,5.39,9.09
16,GENE,-61.2137203166227,38.77551020408164,-46.17414248021108,3.79,1.47,2.04
17,GME,-8.192771084337355,13.648293963254593,4.337349397590354,4.15,3.81,4.33
18,GMLP,-45.850622406639005,-3.8314176245210763,-47.92531120331951,4.82,2.61,2.51
19,HIMX,-53.359683794466406,26.271186440677972,-41.10671936758893,5.06,2.36,2.98
20,HX,-19.044444444444444,256.8487510293714,188.8888888888889,0.45,0.3643,1.3
21,INFI,-46.71532846715329,26.7123287671233,-32.48175182481752,1.37,0.73,0.925
22,INOD,-33.07627118644068,72.2172977079904,15.254237288135606,1.18,0.7897,1.36
23,KEQU,-40.133222314737715,30.73713490959666,-21.731890091590337,12.01,7.19,9.4
24,KLDO,-15.81843191196698,25.980392156862745,6.052269601100419,7.27,6.12,7.71
25,LASR,-52.52626313156578,126.55426765015805,7.553776888444231,19.99,9.49,21.5
26,LBRT,-71.01449275362317,126.25,-34.42028985507246,8.28,2.4,5.43
27,MGY,-58.46817691477886,53.506493506493506,-36.24595469255663,9.27,3.85,5.91
28,MNLO,-43.3996383363472,-19.80830670926518,-54.6112115732369,5.53,3.13,2.51
29,NBEV,-52.7027027027027,43.80952380952381,-31.981981981981985,2.22,1.05,1.51
30,NTWK,-37.74999999999999,33.333333333333314,-17.000000000000004,4.0,2.49,3.32
31,OAS,-82.35779816513762,23.71294851794072,-78.17431192660551,2.18,0.3846,0.4758
32,OLN,-45.64383561643836,20.564516129032267,-34.46575342465753,18.25,9.92,11.96
33,OSW,-79.3471019320453,119.67741935483869,-54.63024650233177,15.01,3.1,6.81
34,PATI,-18.699186991869922,-15.999999999999996,-31.707317073170735,12.3,10.0,8.4
35,PHX,-44.0,27.47252747252746,-28.61538461538462,6.5,3.64,4.64
36,QEP,-86.3405017921147,142.9808449225925,-66.81003584229391,2.79,0.3811,0.9259999999999999
37,SDI,-41.63265306122449,76.36363636363635,2.938775510204077,12.25,7.15,12.61
38,SLCA,-82.45033112582783,200.94339622641508,-47.18543046357616,6.04,1.06,3.19
39,STRS,-42.82914080365894,-1.3142857142857167,-43.58052923881085,30.61,17.5,17.27
40,TFFP,-19.51710261569416,28.750000000000007,3.6217303822937748,4.97,4.0,5.15
41,TORC,-34.013605442176875,127.83505154639175,50.34013605442177,1.47,0.97,2.21
42,TRUE,-37.89473684210527,12.711864406779673,-29.999999999999993,3.8,2.36,2.66
43,VSLR,-64.40677966101694,77.38095238095238,-36.86440677966102,11.8,4.2,7.45
44,XAIR,22.758620689655178,-0.5617977528089892,22.068965517241384,5.8,7.12,7.08
45,XNET,-39.09287257019439,17.02127659574468,-28.72570194384449,4.63,2.82,3.3
