,Symbol,Correction,Advance,Recovery,20200219,20200323,20200528
0,AFI,-41.1764705882353,71.50000000000001,0.8823529411764779,3.4,2.0,3.43
1,APEX,-50.89751013317892,53.36084905660377,-24.696004632310363,0.6908,0.3392,0.5202
2,APPN,-47.236990494602864,81.00763358778626,-4.494925084581922,62.07,32.75,59.28
3,BASI,-17.865429234338738,44.91525423728814,19.02552204176335,4.31,3.54,5.13
4,CCAP,-62.45465538089479,91.62640901771337,-28.05320435308343,16.54,6.21,11.9
5,CCC,-20.84821428571428,26.95995487873661,0.4910714285714419,22.4,17.73,22.51
6,CPSH,-37.60373443983402,48.58686616791354,-7.287344398340252,1.5424,0.9624,1.43
7,EHTH,-17.814744801512287,17.54531235624253,-3.395085066162567,132.25,108.69,127.76
8,EPZM,-38.68149324861001,19.23575129533679,-26.88641779189833,25.18,15.44,18.41
9,EYEN,-50.678733031674206,32.56880733944954,-34.615384615384606,4.42,2.18,2.89
10,GRIF,-24.585504500236855,24.371859296482416,-6.205589767882515,42.22,31.84,39.6
11,HAFC,-51.061388410786,14.419695193434942,-44.00458978772232,17.43,8.53,9.76
12,III,-37.283236994219656,-19.354838709677416,-49.421965317919074,3.46,2.17,1.75
13,JG,-23.202614379084967,-24.680851063829788,-42.15686274509804,3.06,2.35,1.77
14,LDL,-74.64070468242932,119.01279707495432,-44.4598980064905,21.57,5.47,11.98
15,MMYT,-59.20863309352518,39.241622574955905,-43.20143884892087,27.8,11.34,15.79
16,MSON,-59.26786751888437,93.72325249643367,-21.092388146426497,17.21,7.01,13.58
17,NTGR,-14.29225836005496,33.99251737039016,14.841960604672481,21.83,18.71,25.07
18,NTLA,-14.418272662384007,46.12176814011676,25.053533190578158,14.01,11.99,17.52
19,NXTD,-21.125000000000007,17.432646592709983,-7.375000000000007,0.4,0.3155,0.3705
20,ORC,-61.882716049382715,71.25506072874495,-34.72222222222222,6.48,2.47,4.23
21,PBI,-50.78947368421052,36.363636363636346,-32.89473684210527,3.8,1.87,2.55
22,PGNY,-52.61795166858458,50.637522768670316,-28.624856156501725,34.76,16.47,24.81
23,PHGE,-40.0,-3.594771241830061,-42.15686274509803,10.2,6.12,5.9
24,PMD,-49.39890710382514,19.222462203023753,-39.67213114754099,9.15,4.63,5.52
25,PROS,-32.90229885057471,-3.2119914346895153,-35.05747126436782,13.92,9.34,9.04
26,REG,-44.93211240922008,28.124999999999986,-29.444269024313236,63.34,34.88,44.69
27,RESI,-22.143420015760434,-23.17813765182187,-40.18912529550827,12.69,9.88,7.59
28,RYB,-41.02079395085066,-8.653846153846153,-46.124763705103966,5.29,3.12,2.85
29,SCPH,-38.93129770992366,49.46428571428571,-8.72410032715377,9.17,5.6,8.37
30,SDC,-66.93613581244946,86.55256723716381,-38.318512530315274,12.37,4.09,7.63
31,SFUN,-32.462686567164184,-40.05524861878454,-59.51492537313433,2.68,1.81,1.085
32,SILC,-30.872483221476514,35.62684677078936,-6.244528742340241,34.27,23.69,32.13
33,SMLP,-77.95180722891567,94.89981785063756,-57.0281124497992,2.49,0.5489999999999999,1.07
34,SVC,-79.87056460611471,56.09756097560977,-68.57844231198393,22.405,4.51,7.04
35,TCCO,-46.524637681159426,68.03078757656242,-10.144927536231886,3.45,1.8449,3.1
36,TERP,-45.80796252927401,57.649092480553136,-14.566744730679169,21.35,11.57,18.24
37,TIPT,-32.44755244755245,30.22774327122153,-12.027972027972032,7.15,4.83,6.29
38,TWO,-72.3076923076923,10.41666666666665,-69.42307692307692,15.6,4.32,4.77
39,VER,-59.5116988809766,39.9497487437186,-43.33672431332655,9.83,3.98,5.57
40,VFF,-52.68199233716474,129.95951417004045,8.812260536398467,5.22,2.47,5.68
41,WMGI,-12.31527093596059,11.49812734082397,-2.233169129720853,30.45,26.7,29.77
