,Symbol,Correction,Advance,Recovery,20200219,20200323,20200528
0,ACAD,-23.647469458987793,44.82857142857142,10.58027923211168,45.84,35.0,50.69
1,ADMA,-20.930232558139533,-6.535947712418307,-26.09819121447029,3.87,3.06,2.86
2,ATGE,-31.644832605531295,42.844974446337304,-2.3580786026200937,34.35,23.48,33.54
3,BBX,-64.78149100257069,40.87591240875911,-50.385604113110546,3.89,1.37,1.93
4,BKYI,-38.46556690233046,58.57446808510638,-2.4221000261848746,0.7638,0.47,0.7453
5,CAG,-13.557046979865767,31.638198757763956,13.79194630872482,29.8,25.76,33.91
6,CARS,-67.2231985940246,61.93029490616622,-46.924428822495614,11.38,3.73,6.04
7,CENT,-12.089041095890403,42.96844565640826,25.684931506849328,29.2,25.67,36.7
8,CENTA,-16.254036598493006,45.88688946015423,22.174381054897726,27.87,23.34,34.05
9,CF,-44.03250380904013,32.66787658802178,-25.749111223971568,39.38,22.04,29.24
10,CHMG,-32.64781491002571,-1.3358778625954117,-33.54755784061696,38.9,26.2,25.85
11,CHRW,-13.93576483396843,27.862112586970266,10.043549265106144,73.48,63.24,80.86
12,DORM,-27.39997359038691,21.38959621680611,-11.871121088076071,75.73,54.98,66.74
13,EBRB,-63.5875402792696,68.43657817109144,-38.66809881847476,9.31,3.39,5.71
14,EVER,-35.26857142857143,84.67514124293784,19.542857142857137,43.75,28.32,52.3
15,EVFM,-43.29446064139942,42.15938303341902,-19.387755102040817,6.86,3.89,5.53
16,FFBW,-31.49015932521088,24.48700410396717,-14.714151827553891,10.67,7.31,9.1
17,FFIC,-45.589692765113966,8.37887067395264,-41.03072348860257,20.18,10.98,11.9
18,FRPH,-23.0907636945222,4.938913439043407,-19.292283086765305,50.02,38.47,40.37
19,GALT,-32.01581027667984,71.51162790697676,16.600790513834006,2.53,1.72,2.95
20,GSH,-24.213606437454285,-7.528957528957524,-29.91953182150695,13.67,10.36,9.58
21,INTT,-60.632688927943754,44.64285714285714,-43.057996485061516,5.69,2.24,3.24
22,IP,-38.00936768149884,32.56516811484701,-17.822014051522245,42.7,26.47,35.09
23,IPWR,-49.66277348248067,45.098039215686285,-26.96167132752096,3.0395,1.53,2.22
24,JAKK,-63.36576989124214,92.49999999999999,-29.479107040641104,0.8735,0.32,0.616
25,MBOT,-40.476190476190474,31.272727272727266,-21.861471861471866,9.24,5.5,7.22
26,MESA,-60.31537450722733,12.913907284768216,-55.19053876478318,7.61,3.02,3.41
27,MTBC,-27.85515320334262,23.16602316602317,-11.142061281337046,7.18,5.18,6.38
28,MU,-36.23937322887148,21.49019607843137,-22.537089514919156,59.99,38.25,46.47
29,NATH,-25.709001233045615,14.522821576763485,-14.919852034525269,64.88,48.2,55.2
30,NOK,-36.90476190476191,47.924528301886795,-6.666666666666672,4.2,2.65,3.92
31,NUAN,-36.22250970245796,53.14401622718053,-2.3285899094437372,23.19,14.79,22.65
32,ORTX,-48.286852589641434,44.375963020030795,-25.338645418326706,12.55,6.49,9.37
33,PARR,-64.78802992518705,35.12747875354107,-52.41895261845387,20.05,7.06,9.54
34,PFLT,-68.47210994341147,112.30769230769228,-33.06386418755053,12.37,3.9,8.28
35,PKOH,-56.581139620126635,15.425940138142746,-49.883372209263584,30.01,13.03,15.04
36,PLX,-44.75703324808184,64.35185185185183,-9.2071611253197,3.91,2.16,3.55
37,SENS,-61.38775510204081,-15.433403805496832,-67.34693877551021,1.47,0.5676,0.48
38,SSYS,-17.839444995044605,9.469240048250908,-10.059464816650154,20.18,16.58,18.15
39,UAVS,-32.28063540090773,235.10192683607931,126.92889561270799,0.5288,0.3581,1.2
40,YGYI,-0.7246376811594049,21.167883211678816,20.289855072463773,1.38,1.37,1.66
41,YTEN,-48.65211810012837,46.50000000000001,-24.775353016688058,7.79,4.0,5.86
42,ZNH,-38.25350276963181,11.292875989445914,-31.28054740957967,30.69,18.95,21.09
