,Symbol,Correction,Advance,Recovery,20200219,20200323,20200528
0,AAT,-51.559753954305805,23.17460317460317,-40.333919156414765,45.52,22.05,27.16
1,AHC,-43.65671641791045,10.59602649006622,-37.68656716417911,2.68,1.51,1.67
2,AIT,-46.308923806700264,62.23081170623965,-12.896531277794242,67.46,36.22,58.76
3,AMKR,-43.78029079159936,49.425287356321846,-15.993537964458808,12.38,6.96,10.4
4,AMTB,-22.643442622950822,-16.225165562913904,-35.194672131147534,19.52,15.1,12.65
5,AMTBB,-35.737704918032776,-3.877551020408171,-38.22950819672131,15.25,9.8,9.42
6,AOS,-19.274376417233558,30.870786516853936,5.646258503401365,44.1,35.6,46.59
7,AVGR,-41.16564417177914,4.796663190823782,-38.34355828220859,0.652,0.3836,0.402
8,BIOC,-12.721893491124256,40.779661016949156,22.869822485207116,0.33799999999999997,0.295,0.4153
9,BKE,-38.0112269446672,-4.78654592496766,-40.97834803528468,24.94,15.46,14.72
10,BLKB,-37.22300499551684,19.220567231177316,-25.156910464967332,78.07,49.01,58.43
11,CLF,-59.60526315789473,68.07817589576548,-32.10526315789473,7.6,3.07,5.16
12,CM,-43.5726412806209,40.2321083172147,-20.87072520009701,82.46,46.53,65.25
13,CVET,-52.123552123552116,148.38709677419354,18.91891891891893,12.95,6.2,15.4
14,ECOL,-40.534475724194216,16.603773584905674,-30.660954712362297,49.02,29.15,33.99
15,EXPE,-58.27863472267805,54.92625368731563,-35.36265178864456,121.88,50.85,78.78
16,FCEL,-54.121863799283155,64.84374999999999,-24.37275985663083,2.79,1.28,2.11
17,FRAN,-70.45751633986927,46.46017699115046,-56.73202614379085,7.65,2.26,3.31
18,JAGX,-28.87457924776819,-13.024691358024684,-38.13844577784282,0.6833,0.486,0.4227
19,JWN,-61.47581441263574,16.079436258808467,-55.28134254689042,40.52,15.61,18.12
20,KELYA,-44.62109167991522,50.813397129186605,-16.48118706942237,18.87,10.45,15.76
21,L,-44.6285607894247,13.584398117014132,-37.10668404393967,53.71,29.74,33.78
22,LINC,-22.891566265060252,98.95833333333334,53.41365461847388,2.49,1.92,3.82
23,LODE,-34.280019930244144,41.52135456153653,-6.99219398770967,0.6021,0.3957,0.56
24,LVS,-37.12011577424022,11.737629459148433,-29.739507959479013,69.1,43.45,48.55
25,MC,-32.25039619651347,29.863547758284614,-12.017960908610663,37.86,25.65,33.31
26,MLND,-29.815016322089225,-69.30232558139535,-78.45484221980412,9.19,6.45,1.98
27,MXL,-52.00213561131874,89.09899888765294,-9.236518953550457,18.73,8.99,17.0
28,NEOS,-56.0,-1.1292166952544338,-56.49685534591195,1.59,0.6996,0.6917
29,NLSN,-45.30462666055886,22.36180904522613,-33.07375171781951,21.83,11.94,14.61
30,OFED,-40.02961538461538,32.950238258627664,-20.26923076923077,26.0,15.5923,20.73
31,OVBC,-31.83856502242153,14.035087719298243,-22.272047832585955,33.45,22.8,26.0
32,PEBK,-27.35648476257973,-14.146341463414629,-37.63288447909284,28.22,20.5,17.6
33,PKG,-22.955625189527957,33.42954605090528,2.799959567370864,98.93,76.22,101.7
34,PTSI,-57.4274661508704,54.42980463425715,-34.25531914893617,51.7,22.01,33.99
35,QFIN,-22.500000000000007,47.465437788018434,14.285714285714276,8.4,6.51,9.6
36,SINT,-53.74149659863945,110.73529411764704,-2.5170068027210832,0.735,0.34,0.7165
37,SLS,-27.35042735042735,102.94117647058826,47.43589743589745,2.34,1.7,3.45
38,SRI,-49.74857525980556,39.026017344896594,-30.137445524639624,29.83,14.99,20.84
39,SYNA,-38.28506957502821,26.589477960593147,-21.87539175128494,79.77,49.23,62.32
40,TNXP,103.07142857142857,-20.705827177863757,61.02380952380953,0.42,0.8529,0.6763
41,VRA,-60.606060606060616,62.59946949602122,-35.94566353187043,9.57,3.77,6.13
42,VTR,-61.11580726965342,59.82608695652173,-37.852916314454774,59.15,23.0,36.76
43,WISA,-30.862944162436555,-58.14977973568281,-71.06598984771574,7.88,5.4479999999999995,2.28
44,WNEB,-41.41949152542372,5.063291139240494,-38.45338983050848,9.44,5.53,5.81
45,XRF,-48.18652849740933,38.99999999999999,-27.979274611398964,1.93,1.0,1.39
