,Symbol,Correction,Advance,Recovery,20200219,20200323,20200528
0,ANCN,-55.808510638297875,78.1415503129514,-21.27659574468084,1.41,0.6231,1.11
1,ARLP,-54.62962962962962,-4.664723032069975,-56.74603174603173,7.56,3.43,3.27
2,ASND,-29.770409932718316,44.97777777777777,1.8172990219879341,144.17,101.25,146.79
3,CANF,-9.090909090909086,36.66666666666666,24.24242424242424,1.65,1.5,2.05
4,CBAT,-40.46875,21.522309711286077,-27.656250000000004,0.64,0.381,0.46299999999999997
5,CNCE,-28.205128205128197,22.261904761904752,-12.22222222222222,11.7,8.4,10.27
6,CPSS,-63.56783919597991,80.68965517241381,-34.17085427135678,3.98,1.45,2.62
7,CPST,-57.299270072992705,93.16239316239316,-17.518248175182496,2.74,1.17,2.26
8,CTHR,-32.783171521035605,7.526881720430115,-27.723840345199566,0.927,0.6231,0.67
9,DFIN,-54.356435643564346,77.4403470715835,-19.00990099009901,10.1,4.61,8.18
10,DNR,-72.57514719553764,-9.001883239171377,-75.04390042350997,0.9681,0.2655,0.2416
11,EOG,-55.30538302277433,49.5078170237406,-33.17805383022774,77.28,34.54,51.64
12,FTCH,-41.805225653206655,79.86394557823131,4.671417260490894,12.63,7.35,13.22
13,GEC,-42.570957095709566,21.25739900005746,-30.363036303630366,3.03,1.7401,2.11
14,INSE,-45.91304347826087,-1.9292604501607735,-46.95652173913044,5.75,3.11,3.05
15,KTCC,-52.63157894736842,53.70370370370371,-27.192982456140346,5.7,2.7,4.15
16,M,-70.47268262737876,41.995841995842014,-58.072437077961936,16.29,4.81,6.83
17,MARPS,-40.0,105.26315789473685,23.157894736842103,1.9,1.14,2.34
18,MRUS,-37.808641975308646,16.956162117452443,-27.26337448559671,19.44,12.09,14.14
19,NERV,-43.553629469122434,158.54126679462576,45.937161430119176,9.23,5.21,13.47
20,NTIP,-19.742489270386265,17.112299465240632,-6.0085836909871295,2.33,1.87,2.19
21,NVIV,-81.65517241379311,11.278195488721797,-79.58620689655173,7.25,1.33,1.48
22,ORBC,-67.8391959798995,147.65625,-20.35175879396985,3.98,1.28,3.17
23,PHR,-43.092598142043755,54.39705107951555,-12.136649685346113,33.37,18.99,29.32
24,PROF,-58.358570563294975,77.45454545454544,-26.105390672319817,16.51,6.875,12.2
25,QUAD,-45.075125208681136,-3.951367781155012,-47.24540901502504,5.99,3.29,3.16
26,QURE,-36.77558569667077,53.632374451487074,-2.86683107274968,64.88,41.02,63.02
27,RDVT,-36.58637873754152,17.81270464963981,-25.290697674418606,24.08,15.27,17.99
28,RENN,-42.84963542008803,403.44827586206895,187.72252512645338,1.5223,0.87,4.38
29,RFIL,-43.18840579710145,40.30612244897959,-20.289855072463773,6.9,3.92,5.5
30,SESN,-37.08199452576462,51.33345942878761,-4.784005712245628,0.8403,0.5287,0.8001
31,SILK,-49.1463935125907,60.344104070499384,-18.459240290226205,46.86,23.83,38.21
32,SIM,-29.681208383257054,3.7011173184357498,-27.078627408615038,10.1822,7.16,7.425
33,SMPL,-40.04081632653061,13.682777399591558,-31.836734693877556,24.5,14.69,16.7
34,STIM,-61.32930513595167,49.99999999999999,-41.99395770392749,3.31,1.28,1.92
35,STXS,-39.77777777777778,49.44649446494465,-10.000000000000004,4.5,2.71,4.05
36,TWLO,-29.92347337185695,113.28281702696682,49.46119006715602,128.06,89.74,191.4
37,TXG,-43.079470198675494,47.934845840605014,-15.794701986754955,90.6,51.57,76.29
38,USAS,-48.84488448844884,58.06451612903226,-19.141914191419133,3.03,1.55,2.45
39,VGZ,-38.2925122463261,93.3545021546836,19.314205738278517,0.7145,0.4409,0.8525
40,VIV,-29.596412556053817,-4.458598726114649,-32.73542600896861,13.38,9.42,9.0
41,VRML,-18.406527477801774,377.94117647058823,289.96880249580033,0.8334,0.68,3.25
42,WHG,-40.71428571428571,14.578313253012036,-32.07142857142857,28.0,16.6,19.02
43,WTER,-55.71844660194176,149.9451874588906,10.679611650485425,1.03,0.4561,1.14
44,WVE,16.878612716762994,1.4836795252225554,18.61271676300577,8.65,10.11,10.26
