,Symbol,Correction,Advance,Recovery,20200219,20200323,20200528
0,AGS,-82.39234449760767,178.80434782608694,-50.9090909090909,10.45,1.84,5.13
1,ARGX,-20.311341734618235,64.09302325581395,30.763528539659013,161.88,129.0,211.68
2,ATRC,-37.70452928622244,84.84963837076515,15.152952335783732,42.17,26.27,48.56
3,AXTI,-39.16256157635467,110.93117408906882,28.32512315270937,4.06,2.47,5.21
4,BA,-68.77919006798699,41.848134822950186,-55.713863434821164,338.3,105.62,149.82
5,BGG,-17.68488745980707,-30.859375,-43.08681672025724,3.11,2.56,1.77
6,BKTI,-56.906077348066304,141.8803418803419,4.235727440147338,2.715,1.17,2.83
7,BNGO,-59.45283018867925,7.026523964634714,-56.60377358490567,1.06,0.4298,0.46
8,BZH,-67.68929503916449,97.77777777777776,-36.096605744125334,15.32,4.95,9.79
9,CFBI,-38.414096916299556,1.716738197424894,-37.3568281938326,11.35,6.99,7.11
10,CNTY,-79.87421383647799,221.24999999999994,-35.345911949685544,7.95,1.6,5.14
11,CREE,-31.619324072154264,60.612492419648284,9.827907941115493,48.23,32.98,52.97
12,ERYP,-35.17638548064511,85.99562363238512,20.569086086327463,7.0499,4.57,8.5
13,FLMN,-56.89655172413792,27.499999999999993,-45.043103448275865,4.64,2.0,2.55
14,GLOG,-47.54098360655737,5.312499999999997,-44.75409836065573,6.1,3.2,3.37
15,GVA,-53.48240469208212,36.72182821118993,-36.40029325513196,27.28,12.69,17.35
16,ICAD,-41.050903119868636,57.10306406685236,-7.389162561576357,12.18,7.18,11.28
17,IIIN,-43.153153153153156,40.808240887480196,-19.954954954954957,22.2,12.62,17.77
18,JBGS,-40.537944284341975,24.959612277867528,-25.69644572526417,41.64,24.76,30.94
19,JMP,-19.208609271523173,18.857330218451565,-3.973509933774838,3.02,2.4399,2.9
20,KINS,-26.73130193905817,-23.818525519848766,-44.182825484764535,7.22,5.29,4.03
21,MOBL,-26.457399103139018,28.96341463414636,-5.1569506726457295,4.46,3.28,4.23
22,MRC,-57.21343873517786,39.260969976905315,-40.415019762845844,10.12,4.33,6.03
23,MTSI,-46.166448230668415,87.03590992087645,0.6880733944954156,30.52,16.43,30.73
24,NOVN,32.799145299145316,-34.223652453740954,-12.649572649572644,0.46799999999999997,0.6215,0.4088
25,OBSV,-42.89855072463769,99.49238578680205,13.91304347826087,3.45,1.97,3.93
26,PMBC,-39.19885550786838,-10.58823529411765,-45.63662374821174,6.99,4.25,3.8
27,PRGX,-32.853717026378895,44.2857142857143,-3.1175059952038344,4.17,2.8,4.04
28,REX,-36.01175268267757,16.80974246356557,-25.255493101686255,78.28,50.09,58.51
29,SGRY,-71.47368421052632,153.3210332103321,-27.736842105263158,19.0,5.42,13.73
30,SRAX,-8.712121212121211,-28.215767634854775,-34.469696969696976,2.64,2.41,1.73
31,SSL,-91.01274312541918,279.8507462686567,-65.86183769282361,14.91,1.34,5.09
32,TAST,-73.07692307692308,205.71428571428578,-17.692307692307693,5.2,1.4,4.28
33,THTX,-40.255009107468126,23.170731707317085,-26.411657559198545,2.745,1.64,2.02
34,TMDX,-31.58943697060289,0.728332119446465,-31.09118086696562,20.07,13.73,13.83
35,TRGP,-80.7848443843031,158.0281690140845,-50.419485791610285,36.95,7.1,18.32
36,UONEK,-44.34408602150538,-34.21561051004637,-63.387096774193566,1.86,1.0352,0.6809999999999999
37,URG,-43.861347792408985,103.51845463953087,14.252517428350115,0.5164,0.2899,0.59
38,USAP,-49.09090909090909,17.261904761904766,-40.3030303030303,13.2,6.72,7.88
39,VNET,-11.278195488721806,8.859784283513099,-3.4176349965823647,14.63,12.98,14.13
40,VNTR,-45.9214501510574,-18.994413407821234,-56.19335347432024,3.31,1.79,1.45
41,WINS,-12.053758924821494,-33.52531041069723,-41.5380092398152,11.905,10.47,6.9599
42,XGN,-22.812499999999996,-21.929824561403507,-39.73958333333333,19.2,14.82,11.57
43,ZLAB,-22.941176470588236,41.03569218073035,8.680445151033389,62.9,48.47,68.36
