,Symbol,Correction,Advance,Recovery,20200219,20200323,20200528
0,ARWR,-35.93789130979214,29.358874120406586,-17.129977460555963,39.93,25.58,33.09
1,ASYS,-29.298245614035086,28.28784119106699,-9.298245614035093,5.7,4.03,5.17
2,AVNW,-44.3609022556391,112.7027027027027,18.34586466165413,13.3,7.4,15.74
3,BIP,-51.5113575389018,50.49797122832902,-27.02557681988911,55.91,27.11,40.8
4,BRMK,-53.99209486166008,47.938144329896886,-31.93675889328064,12.65,5.82,8.61
5,CIG,-54.252199413489734,27.56410256410256,-41.64222873900294,3.41,1.56,1.99
6,CLPR,-48.64864864864865,26.140350877192986,-35.22522522522522,11.1,5.7,7.19
7,CUE,-41.02812803103783,123.93092105263158,32.056256062075654,20.62,12.16,27.23
8,DK,-51.70909090909091,53.38855421686748,-25.927272727272722,27.5,13.28,20.37
9,DLHC,-24.565217391304337,127.66570605187319,71.73913043478262,4.6,3.47,7.9
10,EGY,-67.0,36.84062850729518,-54.842592592592595,2.16,0.7128,0.9754
11,ELOX,-38.96103896103896,48.93617021276595,-9.090909090909092,3.85,2.35,3.5
12,ENZ,1.7621145374449354,24.675324675324667,26.872246696035237,2.27,2.31,2.88
13,EROS,-39.38356164383561,78.53107344632768,8.219178082191789,2.92,1.77,3.16
14,FPI,-12.272727272727266,19.170984455958553,4.5454545454545565,6.6,5.79,6.9
15,GTE,-79.48128693368352,38.66666666666667,-71.54738454804115,0.9138,0.1875,0.26
16,HGSH,-38.75,41.60125588697017,-13.26923076923077,0.52,0.3185,0.451
17,IPI,-57.165876777251185,46.05001106439478,-37.44075829383886,2.11,0.9038,1.32
18,JVA,-31.428571428571427,11.742424242424244,-23.37662337662337,3.85,2.64,2.95
19,KIN,-65.31914893617021,34.96932515337425,-53.191489361702125,9.4,3.26,4.4
20,KNX,-26.106639839034205,39.75493533015658,3.2696177062374354,39.76,29.38,41.06
21,LIND,-79.0986283474853,139.99999999999997,-49.83670803396473,15.31,3.2,7.68
22,LLEX,-51.1957205789805,16.054158607350104,-43.3606041535557,0.3178,0.1551,0.18
23,LPCN,-17.89695057833858,136.93647540983605,94.53207150368036,0.4755,0.3904,0.925
24,NHLD,-38.46153846153846,24.999999999999993,-23.07692307692308,2.6,1.6,2.0
25,OSS,-61.94444444444444,63.503649635036474,-37.777777777777786,2.7,1.0275,1.68
26,PBR,-70.04701141705843,70.85201793721973,-48.82471457353929,14.89,4.46,7.62
27,PBRA,-68.48137535816619,66.8181818181818,-47.42120343839542,13.96,4.4,7.34
28,PDCE,-71.18644067796609,91.95046439628483,-44.69223907225692,22.42,6.46,12.4
29,PRNB,-33.36640680368533,36.86449691554989,-8.802267895109841,70.55,47.01,64.34
30,RKDA,-50.980392156862735,43.2,-29.80392156862744,5.1,2.5,3.58
31,RNGR,-50.0,0.8571428571428515,-49.57142857142857,7.0,3.5,3.53
32,RPAI,-61.317567567567565,26.200873362445417,-51.182432432432435,11.84,4.58,5.78
33,SFE,-52.976190476190474,37.76371308016878,-35.21825396825397,10.08,4.74,6.53
34,SGMS,-69.37123884623367,114.36314363143633,-34.34322473542228,24.095,7.38,15.82
35,SHI,-18.8178077066966,13.5483870967742,-7.818930041152263,26.73,21.7,24.64
36,TDW,-62.45376078914919,-14.121510673234802,-67.75585696670775,16.22,6.09,5.23
37,TPCO,-49.88142292490119,51.57728706624605,-24.03162055335969,12.65,6.34,9.61
38,TPIC,-57.65384615384615,88.64668483197094,-20.115384615384617,26.0,11.01,20.77
39,TYHT,-26.381590867910848,3.5441791779473353,-23.77242254031526,0.5519,0.4063,0.4207
40,UHAL,-28.745220716023635,34.36178861788616,-4.260804078322337,345.24,246.0,330.53
41,UNIT,-46.96026807084729,50.541516245487365,-20.15318334131164,10.445,5.54,8.34
42,USAC,-71.31832797427653,169.73094170403584,-22.63665594855306,15.55,4.46,12.03
43,UTSI,-20.53231939163498,-9.090909090909088,-27.75665399239544,2.63,2.09,1.9
44,WTT,-35.99999999999999,23.74999999999999,-20.8,1.25,0.8,0.99
45,ZNGA,-11.706629055007053,28.91373801916934,13.822284908321587,7.09,6.26,8.07
