,Symbol,Correction,Advance,Recovery,20200219,20200323,20200528
0,AAON,-16.433321666083305,13.549738219895286,-5.110255512775642,57.14,47.75,54.22
1,AMSWA,-23.013350286077564,51.692815854665575,16.783216783216787,15.73,12.11,18.37
2,ANIX,-51.90615835777127,39.02439024390244,-33.13782991202347,3.41,1.64,2.28
3,APOP,-36.324786324786324,95.97315436241611,24.78632478632479,2.34,1.49,2.92
4,ARCO,-54.71956224350205,15.407854984894254,-47.742818057455544,7.31,3.31,3.82
5,ASUR,-31.508379888268152,2.4469820554649324,-29.832402234636863,8.95,6.13,6.28
6,ATVI,-12.27279788721455,24.34921197095803,9.088084511418353,64.37,56.47,70.22
7,BECN,-67.0448256779192,109.99160369437449,-30.796900940785832,36.14,11.91,25.01
8,CBT,-48.533896317147544,66.49954421148587,-14.309171944639926,42.63,21.94,36.53
9,CCU,-30.31339031339031,15.944399018806209,-19.202279202279207,17.55,12.23,14.18
10,CHCT,-47.342324474414916,45.27306967984934,-23.50257834192781,50.42,26.55,38.57
11,CMI,-38.775023832221166,65.22966134682754,1.1618207816968473,167.84,102.76,169.79
12,CR,-54.860543820749214,48.03516028955532,-33.17773369121251,85.69,38.68,57.26
13,DE,-32.60777299460377,37.795771479981994,-7.136360880373497,164.93,111.15,153.16
14,ELGX,-23.317930801307334,10.229276895943562,-15.47390961343401,0.8873,0.6804,0.75
15,ELP,-53.288740245261984,40.45346062052504,-34.39241917502788,17.94,8.38,11.77
16,EMR,-47.008071249652104,60.26785714285716,-15.070971333147785,71.86,38.08,61.03
17,FUSB,-50.59625212947189,26.72413793103448,-37.39352640545145,11.74,5.8,7.35
18,GBL,-46.98177676537585,43.931256713211596,-23.690205011389512,17.56,9.31,13.4
19,GLPI,-59.648405560098126,72.99898682877406,-30.19215044971382,48.92,19.74,34.15
20,GPOR,-48.77992277992278,130.66485753052916,18.146718146718158,1.295,0.6633,1.53
21,GSKY,-61.58192090395479,18.235294117647047,-54.57627118644068,8.85,3.4,4.02
22,HTBK,-43.793103448275865,28.220858895705522,-27.931034482758623,11.6,6.52,8.36
23,MAIN,-64.69268730372363,102.16010165184242,-28.62270076267384,44.58,15.74,31.82
24,MCF,-68.62745098039215,105.46875,-35.53921568627452,4.08,1.28,2.63
25,MDP,-59.84276729559748,28.112764291307755,-48.553459119496864,31.8,12.77,16.36
26,MFGP,-61.91860465116279,41.22137404580152,-46.220930232558146,10.32,3.93,5.55
27,MPB,-20.74903142488162,7.0070613796849495,-15.195867412828244,23.23,18.41,19.7
28,MXIM,-27.48417721518988,23.325332751472846,-10.569620253164556,63.2,45.83,56.52
29,NCMI,-64.06052963430012,-1.75438596491229,-64.69104665825978,7.93,2.85,2.8
30,NJR,-37.28578045391385,29.20974889217136,-18.96711440481704,43.18,27.08,34.99
31,OPGN,78.85714285714286,-36.42172523961661,13.714285714285714,1.75,3.13,1.99
32,PCH,-35.62408936376882,32.85552621652206,-14.47304516755707,41.18,26.51,35.22
33,PEG,-37.41935483870968,38.44275637547478,-13.361629881154496,58.9,36.86,51.03
34,PRU,-57.87325456498389,57.70015298317186,-33.56605800214822,93.1,39.22,61.85
35,PTC,-44.89542114188807,53.67254821501847,-15.319389485585074,88.45,48.74,74.9
36,RXN,-44.09155937052934,54.40122824974413,-13.676680972818314,34.95,19.54,30.17
37,SAVA,-39.09224011713031,-49.27884615384616,-69.1068814055637,6.83,4.16,2.11
38,SEE,-36.95156695156696,45.32309082693176,-8.376068376068389,35.1,22.13,32.16
39,SHLX,-53.55626326963907,57.02857142857143,-27.070063694267514,18.84,8.75,13.74
40,SMFG,-32.30543318649045,27.33188720173535,-13.80323054331864,6.81,4.61,5.87
41,TACO,-57.528957528957534,90.90909090909092,-18.918918918918916,7.77,3.3,6.3
42,TENX,-63.60932853341681,222.58064516129028,17.38926279542964,1.2778,0.465,1.5
43,WLKP,-44.39636520986586,49.649805447470825,-16.789268714842056,23.11,12.85,19.23
44,WPM,-21.06898694841517,70.07874015748034,34.24487259167185,32.18,25.4,43.2
