,ER,Avg.Correction,Max.Correction,Min.Correction,Avg.Advance,Max.Advance,Min.Advance,Avg.Recovery,Max.Recovery,Min.Recovery
0,1.0,-39.598457242221905,11.009174311926595,-79.20043219881146,54.65611269602032,241.0344827586207,-77.21428571428571,-9.036607720464147,128.85338345864662,-84.76599808978033
1,2.0,-42.89650155341515,38.77397517863858,-85.4219948849105,51.06623493457784,301.24223602484466,-50.64999999999999,-17.74094536264708,130.71428571428572,-82.22762148337596
2,3.0,-37.63770884060487,63.06465899025688,-86.08414239482201,49.300609957646905,199.46524064171118,-25.43352601156069,-16.773921393573914,52.43578387953944,-67.71304347826087
3,4.0,-43.204065049287564,7.807933194154494,-81.39393939393939,60.334462311191224,252.35280745624007,-19.51219512195122,-10.494538844092027,87.5283446712018,-80.23960396039602
4,5.0,-37.84701785364001,63.05418719211825,-84.2896551724138,46.44409454290952,433.180026281209,-37.737378415933314,-15.258938688046722,148.55967078189303,-84.50175438596492
5,6.0,-46.09132586009633,22.758620689655178,-86.3405017921147,60.47659043268861,256.8487510293714,-19.80830670926518,-19.439496931522957,188.8888888888889,-78.17431192660551
6,7.0,-42.29495754621785,32.799145299145316,-91.01274312541918,54.06852154713681,279.8507462686567,-34.223652453740954,-23.33163095551231,30.763528539659013,-65.86183769282361
7,8.0,-41.578858635677186,40.433403805496816,-79.84189723320156,67.66748786878357,991.1094783247611,-26.66666666666666,-4.932800038993981,355.6612457809143,-74.00611620795107
8,9.0,-39.7198252428581,59.100775193798455,-83.78332770840365,55.16444216620546,179.33333333333337,-91.35906040268456,-9.799026914094291,126.22673434856173,-95.1357733175915
9,10.0,-41.517302214213395,54.76190476190476,-86.43728222996515,51.14219800693894,325.7668711656442,-34.35060326472676,-18.295946659970312,120.63492063492062,-68.93732970027249
10,11.0,-29.473120335605355,314.7157190635452,-88.38060384263495,62.00976504545971,386.61417322834643,-16.25,-1.200313399020383,435.1170568561874,-60.39647577092511
11,12.0,-45.65601236668675,-2.406015037593987,-80.89053803339517,62.24346735299326,213.59223300970876,-62.208972174900616,-14.788552941496684,124.0,-86.11516795326519
12,13.0,-37.10950434991531,38.70967741935485,-87.63095238095238,53.054804232773115,204.12371134020623,-17.59465478841871,-5.6879845638468005,132.28346456692915,-84.9702380952381
13,14.0,-38.633943803379665,1.591601760921091,-71.25,38.064276384834656,139.13043478260872,-65.55555555555556,-14.917094684790973,67.76859504132233,-81.437125748503
14,15.0,-11.696399088476907,730.1435406698566,-84.85080336648814,61.72869078377018,430.7193396226415,-46.628242074927954,13.730985451193597,543.0041152263375,-56.13553113553114
15,16.0,-43.85839675626268,-11.445485939812533,-88.41985168282945,47.95564517398373,341.8719211822661,-54.51388888888888,-22.540157328721893,19.699248120300748,-79.07348242811501
16,17.0,-40.98573158698875,-2.3823358512492745,-83.92481203007519,41.423721499171336,143.7037037037037,-25.306122448979597,-18.337525320227293,40.557815223707145,-65.14195583596215
17,18.0,-43.30076436055385,16.878612716762994,-81.65517241379311,63.85919459285743,403.44827586206895,-9.001883239171377,-6.946364898204916,289.96880249580033,-79.58620689655173
18,19.0,-42.230334910808295,9.69283276450512,-88.05852115460657,50.69532080121661,232.95019157088123,-35.40372670807454,-17.593837365952663,100.0,-68.80165289256199
19,20.0,-39.78257472363506,46.69460849685654,-80.6042622066361,55.34756985867963,216.45569620253164,-41.78082191780822,-10.403647154551395,83.69213183463515,-76.77367143242515
20,21.0,-38.23509075712067,56.140350877193,-90.56603773584906,53.59127538569072,502.01149425287355,-30.520000000000003,-10.8219650871709,83.85964912280704,-93.44528301886791
21,22.0,-40.739268348772335,6.196078431372542,-72.77195281782438,73.51445292809291,558.4212440887596,-17.91044776119403,5.140721916949973,502.3294509151415,-67.578125
22,23.0,-43.06316457710557,-12.31527093596059,-79.87056460611471,38.78261315867184,129.95951417004045,-40.05524861878454,-24.696835062322776,25.053533190578158,-69.42307692307692
23,24.0,-35.26107010158584,42.67211997273347,-67.61428571428571,60.96896154608129,373.2510288065843,-55.2,2.7982220343061566,176.55172413793102,-82.24390243902438
24,25.0,-31.600352697942675,73.19642857142856,-76.7080745341615,43.06975694855686,185.4700854700855,-44.366197183098585,-9.199048020773992,147.24091520861376,-55.35714285714286
