,RS Rating,Avg. Advance
0,1.0,-6.097239860745802
1,2.0,2.18349544157253
2,3.0,-17.72118306213657
3,4.0,8.217908660966813
4,5.0,22.462812921458333
5,6.0,20.375448878598775
6,7.0,4.3041712601496815
7,8.0,25.342263584598467
8,9.0,9.977081186735667
9,10.0,13.177205992266199
10,11.0,5.585000754302618
11,12.0,13.459165146324684
12,13.0,27.577667702816292
13,14.0,7.1711734284650435
14,15.0,-0.6214261489418412
15,16.0,15.558148787469174
16,17.0,17.578363942744456
17,18.0,15.554886823022276
18,19.0,21.836274163849076
19,20.0,17.242835175945697
20,21.0,33.77970044162492
21,22.0,
22,23.0,15.301229603303142
23,24.0,9.704307957366415
24,25.0,
25,26.0,6.793569047969132
26,27.0,
27,28.0,16.898273862345413
28,29.0,20.43909797636613
29,30.0,
30,31.0,
31,32.0,19.090644846738428
32,33.0,
33,34.0,12.791103674802638
34,35.0,
35,36.0,15.316681165687868
36,37.0,
37,38.0,
38,39.0,20.233960563952348
39,40.0,
40,41.0,
41,42.0,19.833041743274382
42,43.0,
43,44.0,
44,45.0,22.932064766425484
45,46.0,
46,47.0,
47,48.0,22.034100002577816
48,49.0,
49,50.0,
50,51.0,19.268352736069346
51,52.0,
52,53.0,
53,54.0,
54,55.0,16.47409053286979
55,56.0,
56,57.0,
57,58.0,20.079772240917357
58,59.0,
59,60.0,
60,61.0,
61,62.0,19.166334381271852
62,63.0,
63,64.0,24.7042058985602
64,65.0,
65,66.0,
66,67.0,20.85045753246286
67,68.0,
68,69.0,
69,70.0,19.491129354257726
70,71.0,
71,72.0,17.94949017115092
72,73.0,
73,74.0,
74,75.0,12.095055202906085
75,76.0,
76,77.0,20.95509075421273
77,78.0,
78,79.0,
79,80.0,19.378899660498327
80,81.0,
81,82.0,
82,83.0,18.41325653797382
83,84.0,
84,85.0,17.08420681447282
85,86.0,
86,87.0,22.120925463008586
87,88.0,21.84012812061948
88,89.0,19.204277188055485
89,90.0,9.910913556771359
90,91.0,18.876287608496444
91,92.0,15.244018736679351
92,93.0,20.4681662311369
93,94.0,18.743676010092504
94,95.0,23.723900341227065
95,96.0,28.8363955053555
96,97.0,14.874902143514236
97,98.0,24.196675122433664
98,99.0,15.781245727788113
