,Composite Rating,Avg. Advance
0,1.0,-8.095409944354337
1,2.0,13.404217945824135
2,3.0,2.5836173147462786
3,4.0,9.934984122512859
4,5.0,11.35592676838653
5,6.0,9.373616182142873
6,7.0,28.147650870626165
7,8.0,15.312954526436092
8,9.0,-8.527015991223202
9,10.0,25.274596018526353
10,11.0,-2.833801091142468
11,12.0,5.573242711883526
12,13.0,-1.0810134756818754
13,14.0,-9.670174107738116
14,15.0,30.356419319761105
15,16.0,7.168791863867258
16,17.0,28.536334783112576
17,18.0,30.88648220446219
18,19.0,16.166816400732102
19,20.0,-6.644555002830432
20,21.0,9.188556492500128
21,22.0,6.634330164639637
22,23.0,-1.7087579643460276
23,24.0,14.256162459023251
24,25.0,15.428925288154305
25,26.0,5.305910386695957
26,27.0,21.591416284909574
27,28.0,5.252105320490272
28,29.0,18.237578460491516
29,30.0,10.939557111828053
30,31.0,0.6224305671117201
31,32.0,23.7744353854094
32,33.0,11.084145206279384
33,34.0,11.925766871036307
34,35.0,7.6629544503271525
35,36.0,22.574407532504544
36,37.0,-1.6799107112201093
37,38.0,20.212231606800934
38,39.0,14.566901458814067
39,40.0,13.005745371021554
40,41.0,7.781249072053776
41,42.0,23.525839361452174
42,43.0,3.8024053152518897
43,44.0,16.729942158959584
44,45.0,20.849035768195073
45,46.0,28.450734705527896
46,47.0,19.141917879824604
47,48.0,11.09979801059912
48,49.0,8.634116237357293
49,50.0,10.497066902322112
50,51.0,16.69785256930926
51,52.0,27.89750852524872
52,53.0,12.707555057639514
53,54.0,21.554527923703105
54,55.0,15.100994358854749
55,56.0,14.57677650863477
56,57.0,27.46981774192019
57,58.0,18.014574803846276
58,59.0,20.862538999578405
59,60.0,19.144963188351362
60,61.0,26.809352904474146
61,62.0,19.6654159141236
62,63.0,23.10180342731774
63,64.0,18.643970152022806
64,65.0,19.574585562813507
65,66.0,17.843298891268944
66,67.0,16.367808370779354
67,68.0,11.424003733768414
68,69.0,21.899802856839983
69,70.0,41.03087289325475
70,71.0,10.57952225255759
71,72.0,14.943866561406594
72,73.0,26.935394658276966
73,74.0,21.168583115893128
74,75.0,25.32694699985111
75,76.0,16.83983165736423
76,77.0,20.699433796576535
77,78.0,18.273294773207667
78,79.0,16.332801137525827
79,80.0,21.549099182299123
80,81.0,23.028200879710386
81,82.0,20.76916325924582
82,83.0,19.619602837741915
83,84.0,23.476040813196114
84,85.0,19.920599503392264
85,86.0,26.592901443668822
86,87.0,20.726200163525444
87,88.0,22.53676569290892
88,89.0,18.27207640028908
89,90.0,19.551433568759176
90,91.0,21.52829409002746
91,92.0,28.17552302019562
92,93.0,18.283356828960404
93,94.0,20.528842548781064
94,95.0,22.326144894940924
95,96.0,27.26949043286369
96,97.0,28.001616361079186
97,98.0,18.260661641749905
98,99.0,31.089496312937957
