,RS Rating,Avg. Advance
0,1.0,39.91734420980403
1,2.0,13.957838618707065
2,3.0,23.846539247250767
3,4.0,16.481011355064513
4,5.0,0.12214568912965275
5,6.0,15.698690474861666
6,7.0,16.75108176057046
7,8.0,5.259431581863546
8,9.0,12.354698431979376
9,10.0,14.206015650659547
10,11.0,4.2357552153175915
11,12.0,12.152312556606509
12,13.0,7.73730967048577
13,14.0,9.317550371906542
14,15.0,28.454780419754776
15,16.0,9.014972866295649
16,17.0,12.399114772409177
17,18.0,14.050329372245423
18,19.0,12.273182498567001
19,20.0,11.988105459854904
20,21.0,16.571709543720498
21,22.0,5.466900526813353
22,23.0,17.2417400711545
23,24.0,15.03902480356403
24,25.0,
25,26.0,7.200096037987841
26,27.0,14.25280957168986
27,28.0,
28,29.0,9.920491410667838
29,30.0,9.786197083504657
30,31.0,
31,32.0,7.947378423827332
32,33.0,
33,34.0,6.255024733262673
34,35.0,
35,36.0,7.880628800808809
36,37.0,
37,38.0,9.06317409101139
38,39.0,
39,40.0,
40,41.0,9.044023035791389
41,42.0,
42,43.0,
43,44.0,8.39885128396937
44,45.0,
45,46.0,
46,47.0,
47,48.0,11.275271728426066
48,49.0,
49,50.0,
50,51.0,
51,52.0,6.717108366876615
52,53.0,
53,54.0,
54,55.0,
55,56.0,17.627828165248488
56,57.0,
57,58.0,
58,59.0,
59,60.0,12.694095929915488
60,61.0,
61,62.0,
62,63.0,
63,64.0,8.835642894013342
64,65.0,
65,66.0,
66,67.0,
67,68.0,8.193406999277952
68,69.0,
69,70.0,
70,71.0,10.345422965718761
71,72.0,
72,73.0,
73,74.0,7.30840212679466
74,75.0,
75,76.0,6.674999464986433
76,77.0,
77,78.0,5.086423861767386
78,79.0,
79,80.0,8.447977549885698
80,81.0,
81,82.0,8.24153443452786
82,83.0,4.770238702337999
83,84.0,7.896757309770035
84,85.0,9.420276879570109
85,86.0,
86,87.0,8.00199389346765
87,88.0,6.4360776797784265
88,89.0,6.9632905715300435
89,90.0,7.764728990730546
90,91.0,9.209161149437668
91,92.0,9.475232565627937
92,93.0,6.119971271821982
93,94.0,8.437735737009657
94,95.0,13.504650221047399
95,96.0,9.307766256603927
96,97.0,8.775582689935845
97,98.0,15.607116635232277
98,99.0,24.183963777493513
