,Composite Rating,Avg. Advance
0,1.0,-20.71196709807317
1,2.0,-7.433795481465684
2,3.0,6.086419860234364
3,4.0,-11.029997603334682
4,5.0,-5.843513717883466
5,6.0,-13.57815545276092
6,7.0,-13.146474773203217
7,8.0,-12.244541266114782
8,9.0,2.8228533510440634
9,10.0,-8.897997898189523
10,11.0,-2.759089198462976
11,12.0,-3.1715104878118185
12,13.0,4.548566921952744
13,14.0,-11.7925746569583
14,15.0,-7.51163796914929
15,16.0,-2.973708805027032
16,17.0,-2.9403012915917763
17,18.0,-9.035017967309004
18,19.0,-6.037719102234354
19,20.0,0.5552705590916018
20,21.0,-5.837170400893366
21,22.0,-12.883954247609953
22,23.0,-5.2624732201575615
23,24.0,-1.224413468344234
24,25.0,-1.2685109426412426
25,26.0,-4.366912728365324
26,27.0,-1.5795486783353356
27,28.0,-1.6135761119316572
28,29.0,-7.305596638531916
29,30.0,-2.0285712862935648
30,31.0,-4.556671933627753
31,32.0,-5.198331529887974
32,33.0,-12.000973016637595
33,34.0,2.4614248175280498
34,35.0,2.996634469770845
35,36.0,9.24329434176969
36,37.0,-0.3192215628944268
37,38.0,7.10802748801855
38,39.0,-3.4217863131776975
39,40.0,-0.4148887361400692
40,41.0,-4.989330106721769
41,42.0,6.735104550237609
42,43.0,0.6367960626279564
43,44.0,-2.7287042879449617
44,45.0,-0.7021964842537984
45,46.0,-2.594352010684808
46,47.0,-0.7700991302938356
47,48.0,-0.8837038199224524
48,49.0,3.6038668844462385
49,50.0,2.586785007619163
50,51.0,-1.6807345493300427
51,52.0,-3.877135522510352
52,53.0,2.4129688952650743
53,54.0,0.7542297893942441
54,55.0,3.706989839174757
55,56.0,-12.223958503460015
56,57.0,3.1178270970543984
57,58.0,1.7250320488083655
58,59.0,4.518409379951723
59,60.0,-4.213149288017795
60,61.0,0.08223416031857365
61,62.0,-1.0496075771810713
62,63.0,5.355057432084536
63,64.0,2.7070483118852837
64,65.0,2.7769806112867443
65,66.0,2.1332163926536447
66,67.0,0.8354846524074707
67,68.0,7.554802920469834
68,69.0,-1.0572822268675275
69,70.0,1.0015348250710139
70,71.0,2.0334085657683416
71,72.0,3.0844000638136504
72,73.0,2.465622333216874
73,74.0,2.3690418134227476
74,75.0,1.2423720930573712
75,76.0,2.4197186473207375
76,77.0,4.705020948775138
77,78.0,0.4036360088763576
78,79.0,4.564321689527347
79,80.0,6.569129571370559
80,81.0,6.9529348833193865
81,82.0,4.589584325429869
82,83.0,6.184307326269223
83,84.0,0.4053976517584586
84,85.0,5.20476950429476
85,86.0,5.923534396892436
86,87.0,4.5086133951217
87,88.0,5.126112827473822
88,89.0,3.3661123786668576
89,90.0,0.5070294899346777
90,91.0,3.2924426369522974
91,92.0,4.060112065625129
92,93.0,4.013467032891797
93,94.0,8.327049770258267
94,95.0,4.1626656982574035
95,96.0,4.422829140024992
96,97.0,7.5304042939335805
97,98.0,9.310688086265602
98,99.0,3.8548681338883415
