,RS Rating,Avg. Advance
0,1.0,7.503422860887837
1,2.0,18.813328455188426
2,3.0,-2.8314845041498837
3,4.0,14.067999740088453
4,5.0,20.628263207343146
5,6.0,9.489171331116738
6,7.0,-0.7173817191006099
7,8.0,9.80654590393249
8,9.0,3.3872418093408996
9,10.0,9.125641639300332
10,11.0,12.724784706731361
11,12.0,12.997147133720816
12,13.0,21.907506720212826
13,14.0,8.73144538095314
14,15.0,-1.3813344028028032
15,16.0,13.740066053860504
16,17.0,15.384301613225531
17,18.0,11.395518044045453
18,19.0,8.75734105249129
19,20.0,15.202960994794854
20,21.0,13.767753836796361
21,22.0,
22,23.0,14.132268344421684
23,24.0,7.268078991213203
24,25.0,
25,26.0,8.342515047033869
26,27.0,
27,28.0,10.616727646948108
28,29.0,11.698824320408475
29,30.0,
30,31.0,
31,32.0,10.57881586577737
32,33.0,
33,34.0,9.367009228670408
34,35.0,
35,36.0,7.00442303718509
36,37.0,
37,38.0,
38,39.0,13.278986833829496
39,40.0,
40,41.0,
41,42.0,14.344217157757955
42,43.0,
43,44.0,
44,45.0,14.649987416459702
45,46.0,
46,47.0,
47,48.0,17.26277551008803
48,49.0,
49,50.0,
50,51.0,12.607004054386604
51,52.0,
52,53.0,
53,54.0,
54,55.0,18.2476658342954
55,56.0,
56,57.0,
57,58.0,13.813280009796703
58,59.0,
59,60.0,
60,61.0,
61,62.0,12.08353727222922
62,63.0,
63,64.0,16.784916107390952
64,65.0,
65,66.0,
66,67.0,17.014441857157685
67,68.0,
68,69.0,
69,70.0,14.068595867245852
70,71.0,
71,72.0,9.504643130871871
72,73.0,
73,74.0,
74,75.0,12.787878843831802
75,76.0,
76,77.0,12.399972307926621
77,78.0,
78,79.0,
79,80.0,13.03217760438551
80,81.0,
81,82.0,
82,83.0,15.986975868822777
83,84.0,
84,85.0,14.24057066078135
85,86.0,
86,87.0,10.836320718631853
87,88.0,15.38568146197273
88,89.0,13.355670069866797
89,90.0,12.676318260717615
90,91.0,18.87595705997506
91,92.0,12.984973914948826
92,93.0,16.399615970136907
93,94.0,14.732359868972532
94,95.0,13.102741377813539
95,96.0,18.691200603181887
96,97.0,14.65291919941782
97,98.0,7.420079692991662
98,99.0,20.09227731285627
