,EPS Rating,Avg. Advance
0,1.0,
1,2.0,12.890239794726352
2,3.0,-2.1949968619040607
3,4.0,-0.17972503069717066
4,5.0,7.289306116570417
5,6.0,7.348934257093958
6,7.0,-4.592306142523278
7,8.0,6.483228390966917
8,9.0,16.841652541782516
9,10.0,12.609163206581934
10,11.0,10.183552413536722
11,12.0,1.1386814876835498
12,13.0,4.890699347888033
13,14.0,19.09710292558494
14,15.0,1.8425457375325591
15,16.0,11.62591020701796
16,17.0,21.840054527437477
17,18.0,
18,19.0,8.23953988868673
19,20.0,12.370621022897492
20,21.0,-5.4656449779251135
21,22.0,-10.890657362088712
22,23.0,13.659786789085967
23,24.0,5.503910905573476
24,25.0,16.49111867572023
25,26.0,10.112172357511776
26,27.0,9.816784425984945
27,28.0,19.467658046465942
28,29.0,7.249984289952256
29,30.0,3.280858202224707
30,31.0,8.11164905254164
31,32.0,10.685563267489236
32,33.0,4.740995873911485
33,34.0,22.50676852919886
34,35.0,4.706876182124027
35,36.0,-4.358181231124866
36,37.0,2.80147840308291
37,38.0,6.730612524811826
38,39.0,6.551254373393407
39,40.0,-2.694570590359426
40,41.0,5.024276539726933
41,42.0,10.088561188573925
42,43.0,7.050150552913586
43,44.0,4.0320466599940366
44,45.0,0.03366911800142362
45,46.0,1.8969285413927324
46,47.0,6.754101250203029
47,48.0,0.8631400079108668
48,49.0,11.393992709574285
49,50.0,4.575509963567297
50,51.0,7.2746914966524825
51,52.0,11.569620499465502
52,53.0,8.478091743548987
53,54.0,10.029238817799826
54,55.0,13.254636586200418
55,56.0,12.699847886344342
56,57.0,12.781239332825596
57,58.0,6.931716793730884
58,59.0,12.38201447845551
59,60.0,16.13559218140748
60,61.0,14.32093956236601
61,62.0,9.04236182523975
62,63.0,3.938028074488714
63,64.0,5.084436947113222
64,65.0,5.978140522164319
65,66.0,11.81224268272576
66,67.0,12.527980793533327
67,68.0,8.911226938652423
68,69.0,12.539590903656494
69,70.0,13.88623545411218
70,71.0,8.598580487331844
71,72.0,13.338235711986231
72,73.0,9.564093533321456
73,74.0,13.06879479607966
74,75.0,8.599170513769941
75,76.0,11.065873843545816
76,77.0,13.717749492893113
77,78.0,14.803978061845177
78,79.0,12.87505554498592
79,80.0,19.658073651030566
80,81.0,20.117805507066613
81,82.0,15.42296860502085
82,83.0,16.28980539243122
83,84.0,16.84005880200869
84,85.0,19.599215380151858
85,86.0,9.651819452397175
86,87.0,15.57250987718509
87,88.0,20.11760775214368
88,89.0,10.819552182561322
89,90.0,12.75995204971634
90,91.0,20.496001996663274
91,92.0,17.48428575558658
92,93.0,20.48378489831857
93,94.0,19.88591266875859
94,95.0,19.00333067055164
95,96.0,13.929174494941972
96,97.0,20.85507176156395
97,98.0,21.79556590656146
98,99.0,11.19499728237383
