,RS Rating,Avg. Advance
0,1.0,40.87585738034316
1,2.0,31.651386442795367
2,3.0,17.464013826802645
3,4.0,14.898399150268117
4,5.0,24.336507482431784
5,6.0,20.87498269715383
6,7.0,14.114143693477969
7,8.0,14.333024425319188
8,9.0,11.835874626907474
9,10.0,22.828956344581375
10,11.0,18.51164245940855
11,12.0,19.384586628925312
12,13.0,19.212087794133733
13,14.0,18.430697568789093
14,15.0,15.792189665961327
15,16.0,18.273348354163407
16,17.0,18.71672605579066
17,18.0,14.234652016509992
18,19.0,12.995884313334258
19,20.0,15.275856603933468
20,21.0,15.866264203006189
21,22.0,
22,23.0,17.534630265201752
23,24.0,9.964837298076953
24,25.0,
25,26.0,11.287570645113735
26,27.0,
27,28.0,12.598669723062825
28,29.0,13.723005343745085
29,30.0,
30,31.0,
31,32.0,12.023638952436407
32,33.0,
33,34.0,10.060500238525318
34,35.0,
35,36.0,12.0431802689441
36,37.0,
37,38.0,
38,39.0,14.256643868729718
39,40.0,
40,41.0,
41,42.0,12.567436267798866
42,43.0,
43,44.0,
44,45.0,12.792835336381303
45,46.0,
46,47.0,
47,48.0,13.371891042436411
48,49.0,
49,50.0,
50,51.0,11.750291564880555
51,52.0,
52,53.0,
53,54.0,
54,55.0,13.492196970350562
55,56.0,
56,57.0,
57,58.0,11.49415309068456
58,59.0,
59,60.0,
60,61.0,
61,62.0,8.768688614086015
62,63.0,
63,64.0,12.75754427928944
64,65.0,
65,66.0,
66,67.0,12.899743081233678
67,68.0,
68,69.0,
69,70.0,10.341647288934768
70,71.0,
71,72.0,6.8372305560317965
72,73.0,
73,74.0,
74,75.0,12.486548387596489
75,76.0,
76,77.0,8.630851222102022
77,78.0,
78,79.0,
79,80.0,10.418161140664232
80,81.0,
81,82.0,
82,83.0,11.941435768698954
83,84.0,
84,85.0,10.13437301229504
85,86.0,
86,87.0,7.991228433416828
87,88.0,8.74229376618765
88,89.0,9.304388726318244
89,90.0,10.312874713318243
90,91.0,13.545700182203591
91,92.0,11.62820878491387
92,93.0,9.856873651661088
93,94.0,9.106484889644985
94,95.0,10.401648371493785
95,96.0,12.10980885631746
96,97.0,11.015269984123027
97,98.0,14.87035145304752
98,99.0,14.310537855567134
