,EPS Rating,Avg. Advance
0,1.0,
1,2.0,28.661763986206672
2,3.0,-3.5205971034196417
3,4.0,34.662471656494226
4,5.0,15.019385427107618
5,6.0,-2.013836199485406
6,7.0,3.5578183287051255
7,8.0,-5.262024475344464
8,9.0,59.34819849832491
9,10.0,13.503399640962936
10,11.0,6.477915410125128
11,12.0,22.618607841535386
12,13.0,4.503706051002664
13,14.0,14.614184142865815
14,15.0,-10.255016207324548
15,16.0,34.10908940895709
16,17.0,10.40987785227309
17,18.0,
18,19.0,11.327214673888916
19,20.0,-8.496144200441343
20,21.0,3.4316116016497773
21,22.0,-5.1623795074485495
22,23.0,19.20863648790202
23,24.0,13.113020100123702
24,25.0,18.562628211293873
25,26.0,7.6267261357607
26,27.0,4.727259671278065
27,28.0,19.74465378433561
28,29.0,8.491598180624875
29,30.0,10.93262502529957
30,31.0,2.223433961491464
31,32.0,8.203027540189861
32,33.0,20.67735009208153
33,34.0,18.81109985677811
34,35.0,9.380996193491052
35,36.0,-10.578576437082063
36,37.0,0.9796406201530821
37,38.0,14.05771856265158
38,39.0,3.9411781104089645
39,40.0,-7.056014018403284
40,41.0,-0.9758738282128103
41,42.0,9.98951716246335
42,43.0,7.667831485511244
43,44.0,-2.6325027738237026
44,45.0,-3.660931145582892
45,46.0,4.097140495580237
46,47.0,18.290529846863617
47,48.0,-0.6473943730126333
48,49.0,11.313479160141217
49,50.0,3.582713722091603
50,51.0,7.805775776943095
51,52.0,8.304757627327646
52,53.0,17.26347477456138
53,54.0,8.204296036678834
54,55.0,15.395778228757095
55,56.0,11.548671877487454
56,57.0,13.882669850136649
57,58.0,13.085496869630274
58,59.0,15.711156088387753
59,60.0,10.614364442260564
60,61.0,21.556429413166217
61,62.0,11.136465078151105
62,63.0,6.661945397779809
63,64.0,11.669197428059347
64,65.0,11.24422968971595
65,66.0,14.052692861018777
66,67.0,17.5381681462473
67,68.0,14.859272706948904
68,69.0,27.21173553908177
69,70.0,19.98879407855097
70,71.0,11.46769010955624
71,72.0,11.680029334034542
72,73.0,12.062622712412505
73,74.0,15.223939141219507
74,75.0,12.95714624026552
75,76.0,12.769625232565199
76,77.0,18.060409190072953
77,78.0,18.35697195561324
78,79.0,24.10752583750448
79,80.0,23.318133155632772
80,81.0,26.794508666211954
81,82.0,26.936486422703602
82,83.0,24.02013309944173
83,84.0,24.176847380242076
84,85.0,25.090390729195324
85,86.0,17.9788757217553
86,87.0,24.23171844177525
87,88.0,21.747920944294258
88,89.0,14.960788711177365
89,90.0,27.231351125080497
90,91.0,25.4897228335636
91,92.0,26.352713859084524
92,93.0,28.16137526303712
93,94.0,30.778654235665986
94,95.0,25.28862645346065
95,96.0,21.441726732990595
96,97.0,28.480799061902175
97,98.0,28.00893029161272
98,99.0,7.341535655723024
