,RS Rating,Avg. Advance
0,1.0,0.8220363743336946
1,2.0,1.573965284395623
2,3.0,-20.68882339483399
3,4.0,15.93480896633398
4,5.0,19.03559870609054
5,6.0,19.810147175554707
6,7.0,1.8087002882815162
7,8.0,22.37234603874597
8,9.0,8.380623560017083
9,10.0,11.366973022310786
10,11.0,3.1146433457171114
11,12.0,12.588207977381181
12,13.0,22.110951391589794
13,14.0,10.13621583537901
14,15.0,-2.8559583644794975
15,16.0,14.989337854136146
16,17.0,15.50226886601428
17,18.0,12.90788646533325
18,19.0,20.30114426358432
19,20.0,14.258888179908036
20,21.0,30.930598432795136
21,22.0,
22,23.0,13.28849286469938
23,24.0,7.3222209613557165
24,25.0,
25,26.0,3.976394904935262
26,27.0,
27,28.0,14.312725164557865
28,29.0,18.722818636220822
29,30.0,
30,31.0,
31,32.0,16.038976673334172
32,33.0,
33,34.0,10.72841273710933
34,35.0,
35,36.0,12.967786932643632
36,37.0,
37,38.0,
38,39.0,17.215212672501085
39,40.0,
40,41.0,
41,42.0,16.583166452877137
42,43.0,
43,44.0,
44,45.0,18.85748804909063
45,46.0,
46,47.0,
47,48.0,20.1686195997312
48,49.0,
49,50.0,
50,51.0,15.931887595910373
51,52.0,
52,53.0,
53,54.0,
54,55.0,13.222958741624641
55,56.0,
56,57.0,
57,58.0,17.325657874373867
58,59.0,
59,60.0,
60,61.0,
61,62.0,16.186240079182763
62,63.0,
63,64.0,21.52896631632153
64,65.0,
65,66.0,
66,67.0,17.583577589771064
67,68.0,
68,69.0,
69,70.0,16.40004621984046
70,71.0,
71,72.0,15.848542218575574
72,73.0,
73,74.0,
74,75.0,10.443075572099254
75,76.0,
76,77.0,19.17387524453862
77,78.0,
78,79.0,
79,80.0,19.525885936442016
80,81.0,
81,82.0,
82,83.0,14.31854478526499
83,84.0,
84,85.0,14.212314858667355
85,86.0,
86,87.0,19.5466212610792
87,88.0,17.91524701274558
88,89.0,16.664279905793165
89,90.0,7.945458304545256
90,91.0,17.482776079815327
91,92.0,14.157467704894634
92,93.0,19.14295426562388
93,94.0,17.709566139642344
94,95.0,20.62444490361345
95,96.0,27.879943920195302
96,97.0,14.174826406187043
97,98.0,22.77067141899512
98,99.0,13.890877607926022
