,Composite Rating,Avg. Advance
0,1.0,2.329021969122333
1,2.0,-6.114831095014906
2,3.0,5.646348520739243
3,4.0,5.647100373903179
4,5.0,10.77118319405742
5,6.0,10.75831490414461
6,7.0,9.173014060063911
7,8.0,16.642084863280786
8,9.0,-5.849385506932588
9,10.0,7.2691840683763385
10,11.0,-0.6827067290715275
11,12.0,8.513397810482438
12,13.0,4.310457166591724
13,14.0,4.090782335507639
14,15.0,22.137845595334568
15,16.0,9.878738666846035
16,17.0,3.3152706138786088
17,18.0,2.742635119454557
18,19.0,20.146732438958743
19,20.0,6.715122806961396
20,21.0,8.541791060063378
21,22.0,-1.708566932176383
22,23.0,5.429574489160776
23,24.0,4.869088852624797
24,25.0,4.6424360436843175
25,26.0,5.842162728043738
26,27.0,11.948451915181295
27,28.0,10.498011924952431
28,29.0,7.579350895311724
29,30.0,6.9508716947123474
30,31.0,-1.0018152914750809
31,32.0,15.981776316335344
32,33.0,11.841277318340161
33,34.0,11.353846450100464
34,35.0,-0.3832271424504499
35,36.0,17.129931374806986
36,37.0,11.019925371568723
37,38.0,8.453051777437818
38,39.0,7.8802815712767895
39,40.0,0.43844639924112805
40,41.0,6.457719535298809
41,42.0,11.18381038324948
42,43.0,4.3749738471762605
43,44.0,2.700685158251918
44,45.0,13.541916367515782
45,46.0,17.791107378736886
46,47.0,11.873017327449361
47,48.0,5.500448596089247
48,49.0,2.564525364205749
49,50.0,13.23819256168695
50,51.0,10.886421418790958
51,52.0,13.66748743898389
52,53.0,7.349404765578186
53,54.0,12.137258450491451
54,55.0,10.210378402974406
55,56.0,7.4478285258822
56,57.0,18.442812309474792
57,58.0,17.401382216862235
58,59.0,11.615364610086381
59,60.0,4.35995262738644
60,61.0,17.275080029885633
61,62.0,15.598379155997373
62,63.0,13.696521038361814
63,64.0,11.895283787267442
64,65.0,8.109928574219865
65,66.0,8.773431183418225
66,67.0,10.97939555629538
67,68.0,7.967986184084144
68,69.0,13.845468130861276
69,70.0,19.433171594607234
70,71.0,7.56403513711175
71,72.0,12.637417984251499
72,73.0,13.897509851047701
73,74.0,13.588395625139976
74,75.0,9.437478463555397
75,76.0,12.630280636643882
76,77.0,13.187641803612829
77,78.0,13.434666440508428
78,79.0,12.577221755824091
79,80.0,12.166097936975733
80,81.0,14.495856436053652
81,82.0,14.389694801101314
82,83.0,11.0989564131035
83,84.0,15.854593953257261
84,85.0,10.84973456987919
85,86.0,18.371376585608235
86,87.0,13.254923874271578
87,88.0,14.792082332135921
88,89.0,15.402369535863507
89,90.0,19.547796653606387
90,91.0,14.260752138034
91,92.0,15.680916724821309
92,93.0,11.381143219541968
93,94.0,16.78372343217292
94,95.0,16.891678918335224
95,96.0,20.79288326263466
96,97.0,17.71721383155238
97,98.0,14.840479737653238
98,99.0,26.702003826771286
